"","NSI","pi","piHC","piMetals"
"Dakuidae order incertae sedis",0,0,0,0
"Ascopariidae order incertae sedis",0,0,0,0
"Nemertodermatidae order incertae sedis",0,0,0,0
"Haplosclerida",0,0,0,0
"Spirophorida",0,0,0,0
"Astrophorida",0,0,0,0
"Verongida",0,0,0,0
"Poecilosclerida",1,0,0,0
"Halichondrida",1,2,0,2
"Hadromerida",0,0,0,0
"Homosclerophorida",0,0,0,0
"Priapulimorphida",0,0,0,0
"Ploima",1,0,0,0
"Niphargidae",0,0,0,0
"Oedicerotidae",0,0,0,0
"Lysianassidae",0,0,0,0
"Aoridae",0,0,0,0
"Ampeliscidae",0,0,0,0
"Ischyroceridae",0,0,0,0
"Phoxocephalidae",0,0,0,0
"Urothoidae",0,0,0,0
"Photidae",0,0,0,0
"Bathyporeiidae",0,0,0,0
"Oregoniidae",0,0,0,0
"Aeglidae",0,0,0,0
"Paguridae",0,0,0,0
"Alpheidae",0,0,0,0
"Crangonidae",0,0,0,0
"Mysidae",0,0,0,0
"Cirolanidae",0,0,0,0
"Munnopsidae",0,0,0,0
"Euphausiidae",0,0,0,0
"Leuconidae",0,0,0,0
"Podonidae",0,0,0,0
"Balanidae",0,0,0,0
"Verrucidae",0,0,0,0
"Corycaeidae",0,0,0,0
"Naididae",0,0,0,0
"Enchytraeidae",0,0,0,0
"Siboglinidae",0,0,0,0
"Oweniidae",0,0,0,0
"Sabellidae",0,0,0,0
"Polynoidae",0,0,0,0
"Hesionidae",0,0,0,0
"Glyceridae",0,0,0,0
"Nephtyidae",0,0,0,0
"Pholoidae",0,0,0,0
"Goniadidae",0,0,0,0
"Sphaerodoridae",0,0,0,0
"Phyllodocidae",0,0,0,0
"Aphroditidae",0,0,0,0
"Pectinariidae",0,0,0,0
"Cirratulidae",0,0,0,0
"Terebellidae",0,0,0,0
"Ampharetidae",0,0,0,0
"Ctenodrilidae",0,0,0,0
"Onuphidae",0,0,0,0
"Dorvilleidae",0,0,0,0
"Opheliidae",0,0,0,0
"Spionidae",0,0,0,0
"Poecilochaetidae",0,0,0,0
"Maldanidae",0,0,0,0
"Paraonidae",0,0,0,0
"Capitellidae",0,0,0,0
