"","NSI","pi","piHC","piMetals"
"SWARM_14249",NA,NA,0.0698148148148149,NA
"SWARM_14248",NA,NA,NA,NA
"SWARM_2380",NA,3.24828725797072,NA,2.54493384818008
"SWARM_2381",NA,NA,NA,NA
"SWARM_2389",27.35,NA,NA,NA
"SWARM_676",NA,1.05379633430639,0.166666666666667,1.08454946633826
"SWARM_11999",NA,NA,NA,NA
"SWARM_13735",NA,NA,NA,NA
"SWARM_9297",NA,NA,NA,NA
"SWARM_9293",NA,0.324375114030287,0.206574074074074,0.849870005473454
"SWARM_7261",NA,0.758191555677188,NA,0.825369458128079
"SWARM_17128",NA,NA,NA,NA
"SWARM_9750",NA,NA,NA,NA
"SWARM_19385",NA,NA,NA,NA
"SWARM_9889",25,0.329638980113118,0.282407407407407,0.112876299945265
"SWARM_28944",NA,NA,NA,NA
"SWARM_25810",NA,NA,NA,NA
"SWARM_1460",NA,NA,NA,NA
"SWARM_1463",NA,NA,NA,NA
"SWARM_20554",NA,NA,NA,NA
"SWARM_21607",NA,NA,NA,NA
"SWARM_25032",NA,NA,NA,NA
"SWARM_24927",NA,NA,NA,NA
"SWARM_15017",NA,NA,NA,NA
"SWARM_15015",NA,NA,NA,NA
"SWARM_57643",NA,NA,NA,NA
"SWARM_41032",NA,NA,NA,NA
"SWARM_8041",NA,NA,NA,NA
"SWARM_11815",NA,NA,NA,NA
"SWARM_9316",NA,NA,NA,NA
"SWARM_9317",NA,NA,NA,NA
"SWARM_12568",NA,NA,NA,NA
"SWARM_12565",NA,NA,NA,NA
"SWARM_12560",NA,NA,NA,NA
"SWARM_12561",NA,NA,NA,NA
"SWARM_19480",NA,NA,NA,NA
"SWARM_11039",NA,NA,0.166666666666667,1.72987222906404
"SWARM_11031",28.415,NA,NA,NA
"SWARM_11033",NA,NA,NA,NA
"SWARM_29731",NA,NA,NA,NA
"SWARM_8561",NA,1.62783018182129,0.553518518518519,2.7220620809387
"SWARM_23102",NA,NA,NA,NA
"SWARM_20457",NA,NA,NA,NA
"SWARM_13966",NA,NA,NA,NA
"SWARM_13190",28.415,1.18976749224594,0.119166666666667,1.66728499589491
"SWARM_13341",NA,NA,NA,NA
"SWARM_5094",NA,NA,NA,1.72212643678161
"SWARM_216",NA,NA,NA,NA
"SWARM_3655",NA,NA,NA,NA
"SWARM_25766",NA,NA,NA,NA
"SWARM_1656",NA,NA,NA,NA
"SWARM_26196",NA,NA,NA,NA
"SWARM_27827",NA,NA,NA,NA
"SWARM_21879",NA,NA,NA,NA
"SWARM_41601",NA,NA,NA,NA
"SWARM_9763",NA,NA,NA,NA
"SWARM_25400",NA,0.100644157088123,NA,0.368397646414889
"SWARM_14796",NA,NA,NA,NA
"SWARM_10730",NA,NA,NA,NA
"SWARM_6002",23.3,0.153097062579821,NA,0.102138067870826
"SWARM_7758",NA,NA,NA,NA
"SWARM_7754",NA,NA,NA,NA
"SWARM_7756",NA,NA,NA,NA
"SWARM_7757",NA,NA,NA,NA
"SWARM_7753",NA,NA,0.186574074074074,NA
"SWARM_10739",24,0.329638980113118,0.186574074074074,0.849870005473454
"SWARM_14",NA,3.5157965158046,0.853148148148148,3.07502950533662
"SWARM_15",22.525,1.77096161740558,4.17416666666667,2.35783131499726
"SWARM_43219",NA,NA,NA,NA
"SWARM_1751",NA,NA,NA,NA
"SWARM_46365",NA,NA,NA,NA
"SWARM_21931",NA,NA,NA,NA
"SWARM_30983",NA,NA,NA,NA
"SWARM_25305",NA,NA,NA,NA
"SWARM_25302",NA,NA,NA,NA
"SWARM_22652",NA,NA,NA,NA
"SWARM_28086",NA,NA,NA,NA
"SWARM_17943",NA,NA,NA,NA
"SWARM_63232",NA,NA,NA,NA
"SWARM_4295",22.525,1.87884035949948,1.41668981481481,2.9177750410509
"SWARM_16017",NA,NA,NA,NA
"SWARM_21104",NA,NA,NA,NA
"SWARM_36569",NA,NA,NA,NA
"SWARM_5659",NA,NA,NA,1.08454946633826
"SWARM_12076",28.92,0.329638980113118,0.304259259259259,1.08454946633826
"SWARM_11521",NA,NA,NA,NA
"SWARM_12692",NA,NA,NA,0.111637931034483
"SWARM_10693",NA,NA,NA,0.414757799671593
"SWARM_10697",NA,NA,NA,NA
"SWARM_5259",NA,NA,NA,NA
"SWARM_2707",NA,NA,NA,NA
"SWARM_42045",NA,NA,NA,NA
"SWARM_31757",NA,NA,NA,NA
"SWARM_27409",NA,NA,NA,NA
"SWARM_27404",NA,NA,NA,NA
"SWARM_8374",NA,0.339639968375601,0.186574074074074,NA
"SWARM_20179",NA,NA,1.19180555555556,NA
"SWARM_1872",NA,0.119274539317643,NA,0.108480432402846
"SWARM_36847",NA,NA,NA,NA
"SWARM_10108",NA,NA,NA,NA
"SWARM_10105",NA,NA,NA,NA
"SWARM_7521",27.35,NA,NA,NA
"SWARM_10952",NA,NA,NA,NA
"SWARM_17639",NA,NA,NA,NA
"SWARM_17631",NA,NA,NA,NA
"SWARM_4005",NA,NA,NA,NA
"SWARM_4001",NA,NA,0.190509259259259,NA
"SWARM_4008",NA,NA,NA,NA
"SWARM_27397",NA,NA,NA,NA
"SWARM_5358",NA,NA,NA,NA
"SWARM_14788",NA,NA,NA,NA
"SWARM_8446",NA,NA,NA,NA
"SWARM_70185",NA,NA,NA,NA
"SWARM_70187",NA,NA,NA,NA
"SWARM_7626",NA,NA,NA,0.102138067870826
"SWARM_24496",NA,NA,NA,NA
"SWARM_13154",NA,NA,NA,NA
"SWARM_12406",NA,NA,0.43962962962963,2.42572223932677
"SWARM_2984",25.155,0.168149250440917,0.304259259259259,0.110994800218938
"SWARM_15123",NA,0.346139694702914,0.190509259259259,0.849870005473454
"SWARM_15124",NA,NA,NA,NA
"SWARM_2357",NA,NA,NA,NA
"SWARM_9221",NA,NA,NA,NA
"SWARM_18666",NA,NA,NA,NA
"SWARM_18660",NA,NA,NA,NA
"SWARM_25569",NA,NA,NA,NA
"SWARM_29602",NA,NA,NA,NA
"SWARM_3258",NA,NA,NA,NA
"SWARM_46305",NA,NA,NA,NA
"SWARM_3253",NA,NA,NA,NA
"SWARM_399",NA,NA,NA,NA
"SWARM_393",NA,NA,NA,NA
"SWARM_63178",NA,NA,NA,NA
"SWARM_5785",NA,NA,NA,NA
"SWARM_2832",NA,NA,NA,NA
"SWARM_2830",NA,NA,NA,NA
"SWARM_2836",NA,NA,NA,NA
"SWARM_45261",NA,NA,NA,NA
"SWARM_16808",NA,NA,NA,NA
"SWARM_38197",NA,NA,NA,NA
"SWARM_15570",NA,NA,NA,NA
"SWARM_17701",NA,NA,NA,NA
"SWARM_16497",NA,NA,NA,NA
"SWARM_10548",NA,NA,NA,NA
"SWARM_12861",NA,NA,NA,NA
"SWARM_18231",NA,NA,NA,NA
"SWARM_10423",NA,NA,NA,NA
"SWARM_43928",NA,NA,NA,NA
"SWARM_32689",NA,NA,NA,NA
"SWARM_3041",27.35,NA,NA,NA
"SWARM_3042",NA,NA,NA,NA
"SWARM_38046",NA,NA,NA,NA
"SWARM_8807",NA,NA,1.13453703703704,NA
"SWARM_25236",NA,NA,NA,NA
"SWARM_16308",NA,NA,NA,NA
"SWARM_16300",NA,NA,NA,NA
"SWARM_34238",NA,NA,NA,NA
"SWARM_8607",NA,NA,NA,NA
"SWARM_8609",23.035,1.47819013980113,0.578703703703704,2.35783131499726
"SWARM_7962",NA,NA,NA,NA
"SWARM_9551",NA,NA,NA,NA
"SWARM_9552",27.35,NA,NA,NA
"SWARM_18911",NA,NA,NA,0.368397646414889
"SWARM_1179",7.005,1.72395745910114,3.16534722222222,2.27048653872468
"SWARM_1173",NA,NA,NA,0.368397646414889
"SWARM_2207",NA,NA,NA,NA
"SWARM_30531",NA,NA,NA,NA
"SWARM_15329",NA,NA,NA,NA
"SWARM_4439",24,0.329638980113118,0.236111111111111,0.112876299945265
"SWARM_30398",NA,NA,NA,NA
"SWARM_33844",NA,NA,NA,NA
"SWARM_14057",NA,NA,NA,NA
"SWARM_17772",NA,NA,NA,NA
"SWARM_11347",25.785,NA,NA,NA
"SWARM_7412",NA,NA,NA,NA
"SWARM_19767",NA,NA,NA,NA
"SWARM_8981",NA,NA,NA,NA
"SWARM_2165",27.35,NA,NA,NA
"SWARM_456",NA,NA,NA,NA
"SWARM_455",NA,NA,NA,NA
"SWARM_3413",25.05,0.119274539317643,0.117407407407407,0.0912766830870279
"SWARM_3411",NA,NA,NA,NA
"SWARM_4483",NA,0.329638980113118,0.186574074074074,0.849870005473454
"SWARM_4485",NA,0.346139694702914,0.186574074074074,1.08454946633826
"SWARM_4486",NA,NA,NA,NA
"SWARM_2128",NA,NA,NA,NA
"SWARM_2126",NA,NA,NA,NA
"SWARM_12581",NA,NA,NA,NA
"SWARM_29492",NA,NA,NA,NA
"SWARM_6394",NA,NA,NA,NA
"SWARM_9960",NA,NA,NA,0.108480432402846
"SWARM_9963",NA,NA,NA,NA
"SWARM_11588",NA,NA,NA,NA
"SWARM_2888",NA,0.383190415374323,0.299629629629629,1.81064159140668
"SWARM_126",12.135,3.24828725797072,3.66375,2.9177750410509
"SWARM_125",NA,NA,NA,NA
"SWARM_124",NA,0.115161466885605,NA,0.110994800218938
"SWARM_122",NA,NA,NA,NA
"SWARM_12710",NA,NA,NA,NA
"SWARM_12719",NA,NA,NA,NA
"SWARM_18546",NA,NA,NA,NA
"SWARM_10714",NA,NA,NA,NA
"SWARM_6240",28.92,NA,0.152777777777778,NA
"SWARM_6244",24.855,NA,NA,NA
"SWARM_5574",24.945,0.329638980113118,0.190509259259259,0.873966885604817
"SWARM_50117",NA,NA,NA,NA
"SWARM_956",NA,NA,NA,NA
"SWARM_35404",NA,NA,NA,NA
"SWARM_35403",NA,NA,NA,NA
"SWARM_7590",NA,NA,NA,NA
"SWARM_7591",NA,NA,NA,NA
"SWARM_7598",24.945,0.339639968375601,0.231481481481481,0.102138067870826
"SWARM_9382",NA,NA,NA,NA
"SWARM_7118",27.35,NA,NA,NA
"SWARM_8594",NA,NA,NA,NA
"SWARM_29518",NA,NA,NA,NA
"SWARM_26867",NA,NA,NA,NA
"SWARM_13741",NA,NA,NA,NA
"SWARM_13742",NA,NA,NA,NA
"SWARM_4549",NA,NA,NA,NA
"SWARM_22856",NA,NA,NA,NA
"SWARM_8505",NA,0.329638980113118,0.186574074074074,1.08454946633826
"SWARM_41573",NA,NA,NA,NA
"SWARM_3877",NA,NA,NA,NA
"SWARM_3876",NA,NA,NA,NA
"SWARM_3873",NA,NA,NA,NA
"SWARM_6805",NA,NA,NA,NA
"SWARM_1436",22.525,2.62087399938424,3.66375,NA
"SWARM_1435",NA,NA,NA,NA
"SWARM_9612",NA,NA,NA,NA
"SWARM_3305",NA,NA,NA,3.07502950533662
"SWARM_33152",NA,NA,NA,NA
"SWARM_23240",NA,NA,NA,NA
