"","NSI","pi","piHC","piMetals"
"SWARM_1656",0,0,0,0
"SWARM_26196",0,0,0,0
"SWARM_27827",0,0,0,0
"SWARM_21879",0,0,0,0
"SWARM_41601",0,0,0,0
"SWARM_9763",0,0,0,0
"SWARM_25400",0,1,0,1
"SWARM_14796",0,0,0,0
"SWARM_10730",0,0,0,0
"SWARM_6002",1,1,0,1
"SWARM_7758",0,0,0,0
"SWARM_7754",0,0,0,0
"SWARM_7756",0,0,0,0
"SWARM_7757",0,0,0,0
"SWARM_7753",0,0,1,0
"SWARM_10739",1,1,1,1
"SWARM_14",0,5,5,4
"SWARM_15",4,5,5,4
"SWARM_43219",0,0,0,0
"SWARM_1751",0,0,0,0
"SWARM_46365",0,0,0,0
"SWARM_21931",0,0,0,0
"SWARM_30983",0,0,0,0
"SWARM_25305",0,0,0,0
"SWARM_25302",0,0,0,0
"SWARM_22652",0,0,0,0
"SWARM_28086",0,0,0,0
"SWARM_17943",0,0,0,0
"SWARM_63232",0,0,0,0
"SWARM_4295",4,3,4,3
"SWARM_16017",0,0,0,0
"SWARM_21104",0,0,0,0
"SWARM_36569",0,0,0,0
"SWARM_5659",0,0,0,1
"SWARM_12076",1,1,1,1
"SWARM_11521",0,0,0,0
"SWARM_12692",0,0,0,3
"SWARM_10693",0,0,0,1
"SWARM_10697",0,0,0,0
"SWARM_5259",0,0,0,0
"SWARM_2707",0,0,0,0
"SWARM_42045",0,0,0,0
"SWARM_31757",0,0,0,0
"SWARM_27409",0,0,0,0
"SWARM_27404",0,0,0,0
"SWARM_8374",0,1,1,0
"SWARM_20179",0,0,3,0
"SWARM_1872",0,1,0,1
"SWARM_36847",0,0,0,0
"SWARM_10108",0,0,0,0
"SWARM_10105",0,0,0,0
"SWARM_7521",1,0,0,0
"SWARM_10952",0,0,0,0
"SWARM_17639",0,0,0,0
"SWARM_17631",0,0,0,0
"SWARM_4005",0,0,0,0
"SWARM_4001",0,0,0,0
"SWARM_4008",0,0,0,0
"SWARM_27397",0,0,0,0
"SWARM_5358",0,0,0,0
"SWARM_14788",0,0,0,0
"SWARM_8446",0,0,0,0
"SWARM_70185",0,0,0,0
"SWARM_70187",0,0,0,0
"SWARM_7626",0,0,0,2
"SWARM_24496",0,0,0,0
"SWARM_13154",0,0,0,0
"SWARM_12406",0,0,4,4
"SWARM_2984",0,1,1,1
"SWARM_15123",0,1,0,1
"SWARM_15124",0,0,0,0
"SWARM_2357",0,0,0,0
"SWARM_9221",0,0,0,0
"SWARM_18666",0,0,0,0
"SWARM_18660",0,0,0,0
"SWARM_25569",0,0,0,0
"SWARM_29602",0,0,0,0
"SWARM_3258",0,0,0,0
"SWARM_46305",0,0,0,0
"SWARM_3253",0,0,0,0
"SWARM_399",0,0,0,0
"SWARM_393",0,0,0,0
"SWARM_63178",0,0,0,0
"SWARM_5785",0,0,0,0
"SWARM_2832",0,0,0,0
"SWARM_2830",0,0,0,0
"SWARM_2836",0,0,0,0
"SWARM_45261",0,0,0,0
"SWARM_16808",0,0,0,0
"SWARM_38197",0,0,0,0
"SWARM_15570",0,0,0,0
"SWARM_17701",0,0,0,0
"SWARM_16497",0,0,0,0
"SWARM_10548",0,0,0,0
"SWARM_12861",0,0,0,0
"SWARM_18231",0,0,0,0
"SWARM_10423",0,0,0,0
"SWARM_43928",0,0,0,0
"SWARM_32689",0,0,0,0
"SWARM_3041",1,0,0,0
"SWARM_3042",0,0,0,0
"SWARM_38046",0,0,0,0
"SWARM_8807",0,0,5,0
"SWARM_25236",0,0,0,0
"SWARM_16308",0,0,0,0
"SWARM_16300",0,0,0,0
"SWARM_34238",0,0,0,0
"SWARM_8607",0,0,0,0
"SWARM_8609",4,3,3,4
"SWARM_7962",0,0,0,0
"SWARM_9551",0,0,0,0
"SWARM_9552",1,0,0,0
"SWARM_18911",0,0,0,1
"SWARM_1179",1,1,1,1
"SWARM_1173",0,0,0,0
"SWARM_2207",0,0,0,0
"SWARM_30531",0,0,0,0
"SWARM_15329",0,0,0,0
"SWARM_4439",1,1,1,1
"SWARM_30398",0,0,0,0
"SWARM_33844",0,0,0,0
"SWARM_14057",0,0,0,0
"SWARM_17772",0,0,0,0
"SWARM_11347",4,0,0,0
"SWARM_7412",0,0,0,0
"SWARM_19767",0,0,0,0
"SWARM_8981",0,0,0,0
"SWARM_2165",4,0,0,0
"SWARM_456",0,0,0,0
"SWARM_455",0,0,0,0
"SWARM_3413",1,1,1,1
"SWARM_3411",0,0,0,0
"SWARM_4483",0,1,1,1
"SWARM_4485",0,1,1,1
"SWARM_4486",0,0,0,0
"SWARM_2128",0,0,0,0
"SWARM_2126",0,0,0,0
"SWARM_12581",0,0,0,0
"SWARM_29492",0,0,0,0
"SWARM_6394",0,0,0,0
"SWARM_9960",0,0,0,1
"SWARM_9963",0,0,0,0
"SWARM_11588",0,0,0,0
"SWARM_2888",0,1,0,1
"SWARM_126",5,5,5,3
"SWARM_125",0,0,0,0
"SWARM_124",0,1,0,1
"SWARM_122",0,0,0,0
"SWARM_12710",0,0,0,0
"SWARM_12719",0,0,0,0
"SWARM_18546",0,0,0,0
"SWARM_10714",0,0,0,0
"SWARM_6240",1,0,1,0
"SWARM_6244",4,0,0,0
"SWARM_5574",1,1,0,1
"SWARM_50117",0,0,0,0
"SWARM_956",0,0,0,0
"SWARM_35404",0,0,0,0
"SWARM_35403",0,0,0,0
"SWARM_7590",0,0,0,0
"SWARM_7591",0,0,0,0
"SWARM_7598",0,1,1,1
"SWARM_9382",0,0,0,0
"SWARM_7118",4,0,0,0
"SWARM_8594",0,0,0,0
"SWARM_29518",0,0,0,0
"SWARM_26867",0,0,0,0
"SWARM_13741",0,0,0,0
"SWARM_13742",0,0,0,0
"SWARM_4549",0,0,0,0
"SWARM_22856",0,0,0,0
"SWARM_8505",0,1,1,1
"SWARM_41573",0,0,0,0
"SWARM_3877",0,0,0,0
"SWARM_3876",0,0,0,0
"SWARM_3873",0,0,0,0
"SWARM_6805",0,0,0,0
"SWARM_1436",1,2,1,0
"SWARM_1435",0,0,0,0
"SWARM_9612",0,0,0,0
"SWARM_3305",0,0,0,4
"SWARM_33152",0,0,0,0
"SWARM_23240",0,0,0,0
"SWARM_23244",0,0,0,0
"SWARM_23248",0,0,0,0
"SWARM_22531",0,0,0,0
"SWARM_2259",0,4,3,4
"SWARM_2256",0,1,1,1
"SWARM_2253",0,0,0,0
"SWARM_11848",0,0,0,0
"SWARM_11842",0,0,0,0
"SWARM_9348",0,0,0,0
"SWARM_9345",0,0,0,0
"SWARM_17039",0,0,1,0
"SWARM_62616",0,0,0,0
"SWARM_7995",0,0,0,0
"SWARM_18785",0,0,0,0
"SWARM_1901",0,0,0,0
"SWARM_1904",0,0,0,0
"SWARM_43852",0,0,0,0
"SWARM_136",0,0,0,0
"SWARM_28898",0,0,0,0
"SWARM_25946",0,0,0,0
"SWARM_1573",0,0,0,1
"SWARM_1577",0,0,0,0
"SWARM_1574",1,0,0,0
"SWARM_33055",0,0,0,0
"SWARM_21759",0,0,0,0
"SWARM_21757",0,0,4,4
"SWARM_17260",0,0,0,0
"SWARM_25121",0,0,0,0
"SWARM_25123",0,0,0,0
"SWARM_22478",0,0,0,0
"SWARM_5063",0,0,0,0
"SWARM_6746",0,1,1,1
"SWARM_6742",0,1,1,1
"SWARM_249",4,0,0,0
"SWARM_47561",0,0,0,0
"SWARM_12217",0,0,0,0
"SWARM_12219",0,0,0,0
"SWARM_27698",0,0,0,0
"SWARM_1001",0,0,0,0
"SWARM_1006",0,0,0,0
"SWARM_25459",0,0,0,0
"SWARM_31357",0,0,0,0
"SWARM_3091",0,0,0,1
"SWARM_3097",0,0,1,1
"SWARM_3094",0,0,1,0
"SWARM_34894",0,0,0,0
"SWARM_13875",0,0,0,0
"SWARM_13299",0,0,0,1
"SWARM_22938",0,0,0,0
"SWARM_10585",4,0,0,0
"SWARM_10581",0,0,0,0
"SWARM_7705",0,0,0,0
"SWARM_1700",1,0,0,0
"SWARM_1702",0,0,0,0
"SWARM_24603",0,0,0,0
"SWARM_17918",0,0,0,0
"SWARM_17915",0,0,0,0
"SWARM_17910",0,0,0,0
"SWARM_23952",0,0,0,0
"SWARM_10755",0,0,0,0
"SWARM_10754",0,0,0,0
"SWARM_7055",0,1,1,1
"SWARM_4662",1,0,0,0
"SWARM_10626",0,3,3,0
"SWARM_4759",0,0,0,0
"SWARM_5403",0,0,0,0
"SWARM_20951",1,1,1,1
"SWARM_31982",0,0,0,0
"SWARM_30057",0,0,0,0
"SWARM_16112",0,0,0,0
"SWARM_27676",0,0,0,1
"SWARM_20108",1,1,1,1
"SWARM_17896",0,0,0,0
"SWARM_718",0,1,1,1
"SWARM_713",0,0,0,0
