"","NSI","pi","piHC","piMetals"
"SWARM_29731",0,0,0,0
"SWARM_8561",0,38.18,35.74,33.61
"SWARM_23102",0,0,0,0
"SWARM_20457",0,0,0,0
"SWARM_13966",0,0,0,0
"SWARM_13190",57.58,42.85,44.63,43.24
"SWARM_13341",0,0,0,0
"SWARM_5094",0,0,0,40
"SWARM_216",0,0,0,0
"SWARM_3655",0,0,0,0
"SWARM_25766",0,0,0,0
"SWARM_1656",0,0,0,0
"SWARM_26196",0,0,0,0
"SWARM_27827",0,0,0,0
"SWARM_21879",0,0,0,0
"SWARM_41601",0,0,0,0
"SWARM_9763",0,0,0,0
"SWARM_25400",0,43.04,0,19.76
"SWARM_14796",0,0,0,0
"SWARM_10730",0,0,0,0
"SWARM_6002",32.15,38.35,0,50.18
"SWARM_7758",0,0,0,0
"SWARM_7754",0,0,0,0
"SWARM_7756",0,0,0,0
"SWARM_7757",0,0,0,0
"SWARM_7753",0,0,57.68,0
"SWARM_10739",32.99,42.92,59.57,39.84
"SWARM_14",0,47.16,32.34,47.16
"SWARM_15",58.32,52.16,53.11,63.15
"SWARM_43219",0,0,0,0
"SWARM_1751",0,0,0,0
"SWARM_46365",0,0,0,0
"SWARM_21931",0,0,0,0
"SWARM_30983",0,0,0,0
"SWARM_25305",0,0,0,0
"SWARM_25302",0,0,0,0
"SWARM_22652",0,0,0,0
"SWARM_28086",0,0,0,0
"SWARM_17943",0,0,0,0
"SWARM_63232",0,0,0,0
"SWARM_4295",88.89,88.9,85.07,46.33
"SWARM_16017",0,0,0,0
"SWARM_21104",0,0,0,0
"SWARM_36569",0,0,0,0
"SWARM_5659",0,0,0,30.53
"SWARM_12076",46.47,41.4,47.86,37.87
"SWARM_11521",0,0,0,0
"SWARM_12692",0,0,0,51.27
"SWARM_10693",0,0,0,22.77
"SWARM_10697",0,0,0,0
"SWARM_5259",0,0,0,0
"SWARM_2707",0,0,0,0
"SWARM_42045",0,0,0,0
"SWARM_31757",0,0,0,0
"SWARM_27409",0,0,0,0
"SWARM_27404",0,0,0,0
"SWARM_8374",0,37,51.03,0
"SWARM_20179",0,0,44.57,0
"SWARM_1872",0,44.12,0,45.98
"SWARM_36847",0,0,0,0
"SWARM_10108",0,0,0,0
"SWARM_10105",0,0,0,0
"SWARM_7521",98.47,0,0,0
"SWARM_10952",0,0,0,0
"SWARM_17639",0,0,0,0
"SWARM_17631",0,0,0,0
"SWARM_4005",0,0,0,0
"SWARM_4001",0,0,45.93,0
"SWARM_4008",0,0,0,0
"SWARM_27397",0,0,0,0
"SWARM_5358",0,0,0,0
"SWARM_14788",0,0,0,0
"SWARM_8446",0,0,0,0
"SWARM_70185",0,0,0,0
"SWARM_70187",0,0,0,0
"SWARM_7626",0,0,0,58.89
"SWARM_24496",0,0,0,0
"SWARM_13154",0,0,0,0
"SWARM_12406",0,0,28.7,32.74
"SWARM_2984",37.13,66.84,34.38,75.71
"SWARM_15123",0,30.83,43.91,29.75
"SWARM_15124",0,0,0,0
"SWARM_2357",0,0,0,0
"SWARM_9221",0,0,0,0
"SWARM_18666",0,0,0,0
"SWARM_18660",0,0,0,0
"SWARM_25569",0,0,0,0
"SWARM_29602",0,0,0,0
"SWARM_3258",0,0,0,0
"SWARM_46305",0,0,0,0
"SWARM_3253",0,0,0,0
"SWARM_399",0,0,0,0
"SWARM_393",0,0,0,0
"SWARM_63178",0,0,0,0
"SWARM_5785",0,0,0,0
"SWARM_2832",0,0,0,0
"SWARM_2830",0,0,0,0
"SWARM_2836",0,0,0,0
"SWARM_45261",0,0,0,0
"SWARM_16808",0,0,0,0
"SWARM_38197",0,0,0,0
"SWARM_15570",0,0,0,0
"SWARM_17701",0,0,0,0
"SWARM_16497",0,0,0,0
"SWARM_10548",0,0,0,0
"SWARM_12861",0,0,0,0
"SWARM_18231",0,0,0,0
"SWARM_10423",0,0,0,0
"SWARM_43928",0,0,0,0
"SWARM_32689",0,0,0,0
"SWARM_3041",98.61,0,0,0
"SWARM_3042",0,0,0,0
"SWARM_38046",0,0,0,0
"SWARM_8807",0,0,52.14,0
"SWARM_25236",0,0,0,0
"SWARM_16308",0,0,0,0
"SWARM_16300",0,0,0,0
"SWARM_34238",0,0,0,0
"SWARM_8607",0,0,0,0
"SWARM_8609",45.69,55.14,55.95,43.1
"SWARM_7962",0,0,0,0
"SWARM_9551",0,0,0,0
"SWARM_9552",98.52,0,0,0
"SWARM_18911",0,0,0,28.03
"SWARM_1179",67.91,68.76,72.65,63.12
"SWARM_1173",0,0,0,60.4
"SWARM_2207",0,0,0,0
"SWARM_30531",0,0,0,0
"SWARM_15329",0,0,0,0
"SWARM_4439",48.68,63.02,56.52,81.78
"SWARM_30398",0,0,0,0
"SWARM_33844",0,0,0,0
"SWARM_14057",0,0,0,0
"SWARM_17772",0,0,0,0
"SWARM_11347",38.1,0,0,0
"SWARM_7412",0,0,0,0
"SWARM_19767",0,0,0,0
"SWARM_8981",0,0,0,0
"SWARM_2165",70.65,0,0,0
"SWARM_456",0,0,0,0
"SWARM_455",0,0,0,0
"SWARM_3413",24.32,42.32,28.28,66.58
"SWARM_3411",0,0,0,0
"SWARM_4483",0,40.38,52.3,42.4
"SWARM_4485",0,52.03,48.22,50.11
"SWARM_4486",0,0,0,0
"SWARM_2128",0,0,0,0
