Region,Platform,Station,Alias,ShortName,Grab,Year,HasTHC,HasPAH,HasNPD,INDEX,MET,SSU_ID,COI_ID,18S,COI,Extract,Extract conc,Type,Plate18S,PlateCOI,18S_N,COI_N,Grabs,THC,PAH,NPD,As,Ba,Cd,Cr,Cu,Hg,Ni,Pb,Zn,Acenaften,Acenaftylen,Antracen,Benz(a)antracen,Benzo(a)pyren,Benzo(bjk)fluoranten,Benzo(ghi)perylen,C1-alkyldibenzotiofener,C1-alkylfenantrener/antracener,C1-alkylnaftalener,C2-alkyldibenzotiofener,C2-alkylfenantrener/antracener,C2-alkylnaftalener,C3-alkyldibenzotiofener,C3-alkylfenantrener/antracener,C3-alkylnaftalener,Chrysen,Dibenz(ah)antracen,Dibenzotiofen,Fenantren,Fluoranten,Fluoren,Indeno(1.2.3-c.d)pyren,Naftalen,Pyren,Grus,Sand,Pelite,Kornstorrelse,Kurtosis,Skewness,Sorting,TOC,MorphoS,MorphoH,ES100,ISI,Individtetthet,MorphoJ,NQI1,NSI,Depth,Distance,UTM31E,UTM31N,WGS84E,WGS84N,Comment
IX,REG9,R902,NA,REG902.1.2019,1,2019,Y,Y,Y,Y,Y,S708S-REG902,S756C-REG902,TRUE,TRUE,897-899,NA,S,8,8,36,84,3,6,0.06,0.11,4.7,93,0.06,35.7,11.9,0.03,NA,15.8,55,0.00147,0.00020,0.00037,0.00152,0.00620,0.015,0.005,0.001,0.0148,0.0172,0.0056,0.023,0.019,0.007,0.011,0.030,0.0026,0.0009,0.0003,0.0068,0.0032,0.0024,0.0079,0.0034,0.0030,0.02,11.05,88.93,5.73,0.83,-0.06,1.45,0.60,87,4.73,36.61,11.49,616,0.73,0.81,30.11,362,NA,NA,NA,21.998,71.750,
IX,REG9,R902,NA,REG902.2.2019,2,2019,Y,Y,Y,Y,Y,S709S-REG902,S757C-REG902,TRUE,TRUE,900-902,NA,S,8,8,37,85,3,8,0.06,0.11,4.5,82,0.07,31.1,10.5,0.03,NA,12.9,47,0.00147,0.00019,0.00033,0.00140,0.01303,0.013,0.004,0.001,0.0148,0.0185,0.0056,0.022,0.018,0.007,0.012,0.022,0.0023,0.0008,0.0003,0.0076,0.0031,0.0030,0.0070,0.0047,0.0031,NA,NA,NA,NA,NA,NA,NA,NA,87,4.73,36.61,11.49,616,0.73,0.81,30.11,362,NA,NA,NA,21.998,71.750,
IX,REG9,R902,NA,REG902.3.2019,3,2019,Y,Y,Y,Y,Y,S710S-REG902,S758C-REG902,TRUE,TRUE,903-905,NA,S,8,8,38,86,3,5,0.06,0.09,4.1,81,0.06,30.9,10.5,0.03,NA,13.3,49,0.00147,0.00027,0.00015,0.00123,0.00824,0.014,0.005,0.001,0.0148,0.0172,0.0056,0.022,0.018,0.007,0.012,0.018,0.0032,0.0009,0.0002,0.0069,0.0030,0.0017,0.0073,0.0028,0.0030,NA,NA,NA,NA,NA,NA,NA,NA,87,4.73,36.61,11.49,616,0.73,0.81,30.11,362,NA,NA,NA,21.998,71.750,
IX,REG9,R905,NA,REG905.1.2019,1,2019,Y,Y,Y,Y,Y,S711S-REG905,S759C-REG905,TRUE,TRUE,906-908,NA,S,8,8,39,87,3,5,0.01,0.05,1.5,33,0.03,11.6,2.9,0.01,NA,5.0,15,0.00147,0.00018,0.00006,0.00055,0.00227,0.003,0.001,0.001,0.0148,0.0172,0.0056,0.022,0.018,0.007,0.011,0.009,0.0006,0.0004,0.0001,0.0013,0.0010,0.0011,0.0030,0.0028,0.0007,3.71,66.23,30.06,3.41,1.41,0.22,1.98,0.16,94,5.76,48.48,11.41,425,0.88,0.88,26.69,309,NA,NA,NA,22.115,71.274,
IX,REG9,R905,NA,REG905.2.2019,2,2019,Y,Y,Y,Y,Y,S712S-REG905,S760C-REG905,TRUE,TRUE,909-911,NA,S,8,8,40,88,3,1,0.02,0.06,1.8,44,0.04,13.2,4.0,0.01,NA,6.7,19,0.00147,0.00018,0.00010,0.00055,0.00227,0.003,0.001,0.001,0.0148,0.0172,0.0056,0.022,0.018,0.007,0.011,0.012,0.0006,0.0004,0.0001,0.0022,0.0013,0.0011,0.0030,0.0028,0.0011,NA,NA,NA,NA,NA,NA,NA,NA,94,5.76,48.48,11.41,425,0.88,0.88,26.69,309,NA,NA,NA,22.115,71.274,
IX,REG9,R905,NA,REG905.3.2019,3,2019,Y,Y,Y,Y,Y,S713S-REG905,S761C-REG905,TRUE,TRUE,912-914,NA,S,8,8,41,89,3,4,0.01,0.06,1.7,37,0.04,11.8,3.4,0.01,NA,5.7,15,0.00147,0.00018,0.00006,0.00055,0.00227,0.003,0.001,0.001,0.0148,0.0172,0.0056,0.022,0.018,0.007,0.011,0.009,0.0006,0.0004,0.0001,0.0015,0.0010,0.0011,0.0030,0.0028,0.0007,NA,NA,NA,NA,NA,NA,NA,NA,94,5.76,48.48,11.41,425,0.88,0.88,26.69,309,NA,NA,NA,22.115,71.274,
IX,REG9,R908,NA,REG908.1.2019,1,2019,Y,Y,Y,Y,Y,S714S-REG908,S762C-REG908,TRUE,TRUE,915-917,NA,S,8,8,42,90,3,6,0.02,0.06,2.0,112,0.03,14.0,4.3,0.01,NA,5.9,20,0.00147,0.00018,0.00010,0.00061,0.00227,0.004,0.002,0.001,0.0148,0.0172,0.0056,0.022,0.018,0.007,0.011,0.011,0.0010,0.0004,0.0001,0.0030,0.0013,0.0011,0.0030,0.0028,0.0013,0.61,55.27,44.12,3.85,0.90,0.44,1.69,0.24,79,5.34,42.27,11.81,406,0.85,0.83,27.48,391,NA,NA,NA,22.445,71.266,
IX,REG9,R908,NA,REG908.2.2019,2,2019,Y,Y,Y,Y,Y,S715S-REG908,S763C-REG908,TRUE,TRUE,918-920,NA,S,8,8,43,91,3,5,0.01,0.06,1.8,93,0.03,14.1,4.5,0.01,NA,5.8,20,0.00147,0.00018,0.00006,0.00055,0.00227,0.003,0.002,0.001,0.0148,0.0172,0.0056,0.022,0.018,0.007,0.011,0.009,0.0007,0.0004,0.0001,0.0020,0.0010,0.0011,0.0030,0.0028,0.0010,NA,NA,NA,NA,NA,NA,NA,NA,79,5.34,42.27,11.81,406,0.85,0.83,27.48,391,NA,NA,NA,22.445,71.266,
IX,REG9,R908,NA,REG908.3.2019,3,2019,Y,Y,Y,Y,Y,S716S-REG908,S764C-REG908,TRUE,TRUE,921-923,NA,S,8,8,44,92,3,4,0.02,0.06,2.3,90,0.04,15.8,5.3,0.01,NA,6.8,23,0.00147,0.00018,0.00006,0.00055,0.00286,0.004,0.002,0.001,0.0148,0.0172,0.0056,0.022,0.018,0.007,0.011,0.011,0.0009,0.0004,0.0001,0.0023,0.0012,0.0011,0.0030,0.0028,0.0013,NA,NA,NA,NA,NA,NA,NA,NA,79,5.34,42.27,11.81,406,0.85,0.83,27.48,391,NA,NA,NA,22.445,71.266,
IX,SG,SG06,NA,SG06.1.2019,1,2019,Y,N,N,Y,Y,S787S-SG06,S835C-SG06,TRUE,TRUE,1174-1176,NA,S,9,9,22,70,3,13,NA,NA,5.2,376,0.11,32.7,13.6,0.03,NA,16.9,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,29.21,69.86,5.12,0.83,-0.13,2.01,0.78,119,5.65,45.57,12.06,973,0.82,0.85,28.37,321,NA,NA,NA,21.081,71.649,
IX,SG,SG06,NA,SG06.2.2019,2,2019,Y,N,N,Y,Y,S788S-SG06,S836C-SG06,TRUE,TRUE,1177-1179,NA,S,9,9,23,71,3,10,NA,NA,5.7,283,0.09,30.8,12.5,0.03,NA,18.7,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,5.65,45.57,12.06,973,0.82,0.85,28.37,321,NA,NA,NA,21.081,71.649,
IX,SG,SG06,NA,SG06.3.2019,3,2019,Y,N,N,Y,Y,S789S-SG06,S837C-SG06,TRUE,TRUE,1180-1182,NA,S,9,9,24,72,3,12,NA,NA,5.5,333,0.13,28.8,13.1,0.03,NA,18.8,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,5.65,45.57,12.06,973,0.82,0.85,28.37,321,NA,NA,NA,21.081,71.649,
IX,SG,SG07,NA,SG07.1.2019,1,2019,Y,N,N,Y,Y,S790S-SG07,S838C-SG07,TRUE,TRUE,1183-1185,NA,S,9,9,25,73,3,9,NA,NA,4.4,173,0.08,29.0,10.1,0.02,NA,14.8,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,21.12,78.79,5.44,0.79,-0.04,1.61,0.54,81,4.88,36.73,11.32,640,0.77,0.84,29.38,321,NA,NA,NA,21.095,71.642,
