Taxon,EC
Mytiloida,0
Arcoida,0
Pholadomyoida,0
Neoloricata,0
Dentaliida,0
Gadilida,0
Chaetodermatida,0
Nuculoida,0
Ploimida,0
Flosculariacea,0
Spionida,0
Terebellida,0
Protodrilus order incertae sedis,0
Dinophilida,0
Opheliidae order incertae sedis,0
Orbiniidae order incertae sedis,0
Paraonidae order incertae sedis,0
Phyllodocida,0
Sabellida,0
Eunicida,0
Palpata Incertae Sedis,0
Flabelligerida,0
Golfingiida,0
Echiuroinea,0
Haplotaxida,0
Zoantharia,0
Ceriantharia,0
Alcyonacea,0
Pennatulacea,0
Anthoathecata,0
Limnomedusae,0
Leptothecata,0
Trachymedusae,0
Narcomedusae (Hydrozoa),0
Bivalvulida,0
Coronatae,0
Stauromedusae,0
Terebratulida,0
Haplosclerida,0
Tetractinellida,0
Poecilosclerida,0
Suberitida,0
Bubarida,0
Axinellida,0
Biemnida,0
Verongiida,0
Tethyida,0
Leucosolenida,0
Clathrinida,0
Harrimaniidae order incertae sedis,0
Ptychoderidae order incertae sedis,0
Ctenostomatida,0
Cheilostomatida,0
Cyclostomatida,0
Tubuliporida,0
Cydippida,0
Priapulidae order incertae sedis,0
Homalorhagida,0
Cyclorhagida,0
Hoplonemertea,0
Macrodasyida,0
Chaetonotida,0
Phragmophora,0
Bursovaginoidea,0
Coloniales,0
Rhopaluridae order incertae sedis,0
Hypocreales,0
Sordariomycetes incertae sedis,0
Sordariales,0
Xylariales,0
Boliniales,0
Pleosporales,0
Helotiales,0
Eurotiales,0
Chaetothyriales,0
Arachnomycetales,0
Pezizales,0
Cystofilobasidiales,0
Tremellales,0
Ustilaginales,0
Malasseziales,0
Exobasidiales,0
Blastocladiales,0
Chytridiales,0
Lobulomycetales,0
Rhizophlyctidales,0
Monoblepharidales,0
Zoopagales,0
Mucorales,0
Basidiobolaceae order incertae sedis,0
OLI11041,0
Codonosigidae order incertae sedis,0
Codosigidae order incertae sedis,0
Acanthoecidae order incertae sedis,0
Rozella order incertae sedis,0
Paramicrosporidium order incertae sedis,0
Pirum order incertae sedis,0
Nucleariidae order incertae sedis,0
Dermocystida,0
Ministeria order incertae sedis,0
Marine Group,0
AT4-11,0
Andalucia order incertae sedis,0
Rhynchopus order incertae sedis,0
Dysnectes order incertae sedis,0
Carpediemonas order incertae sedis,0
Trimastix order incertae sedis,0
Paratrimastix order incertae sedis,0
Piroplasmorida,0
Eugregarinorida,0
Archigregarinorida,0
Cryptosporidium order incertae sedis,0
Eimeriorina,0
Gymnodiniphycidae,0
Prorocentrales,0
Dinophyceae incertae sedis,0
Dinophysiales,0
SL163A10,0
D244,0
B7,0
Gonyaulacales,0
Podolampadaceae order incertae sedis,0
Euplotia,0
Hypotrichia,0
Oligotrichia,0
Choreotrichia,0
Protohypotrichia,0
Licnophoria,0
Protocruzia order incertae sedis,0
Mesodiniidae order incertae sedis,0
Armophorida,0
Cariaco Basin group 1,0
Anigsteinia order incertae sedis,0
Eufolliculina order incertae sedis,0
Apostomatia,0
Peritrichia,0
Peniculia,0
Cryptocaryon order incertae sedis,0
Placus order incertae sedis,0
Platyophryida,0
Cyrtolophosidida,0
Plagiopylida,0
Odontostomatida,0
Suctoria,0
Zosterodasys order incertae sedis,0
Colponema order incertae sedis,0
Chromera order incertae sedis,0
Syndiniales Group II,0
Syndiniales Group I,0
Syndiniales Group III,0
Syndiniales Group V,0
Hematodinium order incertae sedis,0
Amoebophrya order incertae sedis,0
Duboscquella order incertae sedis,0
NOR26,0
Minorisa order incertae sedis,0
Massisteria order incertae sedis,0
Maullinia order incertae sedis,0
Phagomyxa order incertae sedis,0
p15D09,0
Nudifila order incertae sedis,0
Euglyphida,0
Thaumatomonadida,0
Thecofilosea incertae sedis,0
DSGM-50,0
BOLA322,0
NIF-3A7,0
Metopion order incertae sedis,0
Cercomonadidae order incertae sedis,0
Glissomonadida,0
Minchinia order incertae sedis,0
Nassellaria,0
Spumellaria,0
Chaunocanthida,0
Arthracanthida,0
Holocanthida,0
Acantharea Group VI,0
Acantharea Group I,0
Acantharea Group II,0
TAGIRI-17,0
D52,0
AI5F15RM1E10,0
Thraustochytriaceae order incertae sedis,0
Labyrinthulaceae order incertae sedis,0
Pythium order incertae sedis,0
Phytophthora order incertae sedis,0
Aphanomyces order incertae sedis,0
Olpidiopsis order incertae sedis,0
Halodaphnea order incertae sedis,0
Hyphochytriales,0
Fragilariales,0
Coscinodiscus order incertae sedis,0
Actinoptychus order incertae sedis,0
Actinocyclus order incertae sedis,0
CCMP2297,0
Navicula order incertae sedis,0
Amphora order incertae sedis,0
Sellaphora order incertae sedis,0
Rhaphoneis order incertae sedis,0
Asterionellopsis order incertae sedis,0
Haslea order incertae sedis,0
Chromulinales,0
LG21-05,0
LG01-09,0
E222,0
Phaeothamniales,0
Bolidomonas order incertae sedis,0
Vannellida,0
Flabellinia,0
Leptomyxida,0
Protosporangium order incertae sedis,0
Acanthocystidae order incertae sedis,0
Heterophryidae order incertae sedis,0
Palpitomonas order incertae sedis,0
Amastigomonas order incertae sedis,0
Chelonemonas order incertae sedis,0
Ancyromonadida order incertae sedis,0
Apusomonas order incertae sedis,0
Subulatomonas order incertae sedis,0
Mantamonas order incertae sedis,0
Catenulidae,0
Prosorhynchoides family incertae sedis,0
Kalyptorhynchia,0
Neodalyellida,0
Dalyellioida,0
Typhloplanoida,0
Harrimaniidae,0
Ptychoderidae,0
Priapulidae,0
Nemertodermatidae,0
Dactylopodolidae,0
Barentsiidae,0
Rhopaluridae,0
Ascobolaceae,0
Cystofilobasidiaceae,0
Malasseziales incertae sedis,0
Salpingoecidae,0
Codonosigidae,0
Codosigidae,0
Stephanoecidae,0
Acanthoecidae,0
Rozella family incertae sedis,0
Pirum family incertae sedis,0
Nucleariidae,0
Rhinosporideacae,0
Ministeria family incertae sedis,0
Andalucia family incertae sedis,0
Rhynchopus family incertae sedis,0
Dysnectes family incertae sedis,0
Carpediemonas family incertae sedis,0
Dinenympha family incertae sedis,0
Trimastix family incertae sedis,0
Paratrimastix family incertae sedis,0
Lankesteria family incertae sedis,0
Pterospora family incertae sedis,0
Selenidium family incertae sedis,0
Cryptosporidium family incertae sedis,0
Eimeria family incertae sedis,0
Sarcocystis family incertae sedis,0
Margolisiella family incertae sedis,0
Goussia family incertae sedis,0
Rhytidocystis family incertae sedis,0
Suessiaceae,0
SCM27C9,0
Prorocentrum family incertae sedis,0
Exuviaella family incertae sedis,0
Azadinium family incertae sedis,0
Halostylodinium family incertae sedis,0
Sabulodinium family incertae sedis,0
Madanidinium family incertae sedis,0
Sinophysis family incertae sedis,0
Neoceratium family incertae sedis,0
Podolampadaceae,0
Euplotes family incertae sedis,0
Discocephalus family incertae sedis,0
Aspidisca family incertae sedis,0
Paradiophrys family incertae sedis,0
Pseudokeronopsis family incertae sedis,0
Holosticha family incertae sedis,0
Amphisiella family incertae sedis,0
Arcuseries family incertae sedis,0
Uronychia family incertae sedis,0
Protogastrostyla family incertae sedis,0
Apokeronopsis family incertae sedis,0
Pseudoamphisiella family incertae sedis,0
Epiclintes family incertae sedis,0
Tunicothrix family incertae sedis,0
Spirotrachelostyla family incertae sedis,0
Trachelostyla family incertae sedis,0
Strombidium family incertae sedis,0
Strombidinopsis family incertae sedis,0
Pelagostrobilidium family incertae sedis,0
Licnophora family incertae sedis,0
Protocruzia family incertae sedis,0
Mesodiniidae,0
Metopus family incertae sedis,0
Anigsteinia family incertae sedis,0
Eufolliculina family incertae sedis,0
Histiobalantium family incertae sedis,0
Pleuronema family incertae sedis,0
Philaster family incertae sedis,0
Homalogastra family incertae sedis,0
Mesanophrys family incertae sedis,0
Cyclidium family incertae sedis,0
Paratetrahymena family incertae sedis,0
Miamiensis family incertae sedis,0
Cardiostomatella family incertae sedis,0
Sathrophilus family incertae sedis,0
Hyalophysa family incertae sedis,0
Cinetochilum family incertae sedis,0
Cothurnia family incertae sedis,0
Apocarchesium family incertae sedis,0
Frontonia family incertae sedis,0
Placus family incertae sedis,0
Platyophrya family incertae sedis,0
Aristerostoma family incertae sedis,0
RM1-SG02,0
Trimyema family incertae sedis,0
Epalxella family incertae sedis,0
Acineta family incertae sedis,0
Ephelota family incertae sedis,0
Zosterodasys family incertae sedis,0
Colponema family incertae sedis,0
Hematodinium family incertae sedis,0
Amoebophrya family incertae sedis,0
Duboscquella family incertae sedis,0
Minorisa family incertae sedis,0
Massisteria family incertae sedis,0
Maullinia family incertae sedis,0
Phagomyxa family incertae sedis,0
NAMAKO-15,0
Pseudopirsonia family incertae sedis,0
Nudifila family incertae sedis,0
Cyphoderiidae,0
Peregriniidae,0
Metopion family incertae sedis,0
Cercomonadidae,0
Heteromita family incertae sedis,0
Proleptomonas family incertae sedis,0
Minchinia family incertae sedis,0
Pseudocubus family incertae sedis,0
Triastrum family incertae sedis,0
Rhizosphaera family incertae sedis,0
Amphiacon family incertae sedis,0
Acanthometra family incertae sedis,0
Thraustochytriaceae,0
Labyrinthulaceae,0
Pythium family incertae sedis,0
Phytophthora family incertae sedis,0
Aphanomyces family incertae sedis,0
Olpidiopsis family incertae sedis,0
Rictus family incertae sedis,0
Cafeteria family incertae sedis,0
Bicosoeca family incertae sedis,0
Pseudobodo family incertae sedis,0
Rhizidiomyces family incertae sedis,0
Coscinodiscus family incertae sedis,0
Actinoptychus family incertae sedis,0
Actinocyclus family incertae sedis,0
Amphora family incertae sedis,0
Sellaphora family incertae sedis,0
Rhaphoneis family incertae sedis,0
Asterionellopsis family incertae sedis,0
Haslea family incertae sedis,0
Uroglena family incertae sedis,0
Bolidomonas family incertae sedis,0
Platyamoeba family incertae sedis,0
Vannella family incertae sedis,0
Dactylopodida,0
BOLA868,0
Hartmannella family incertae sedis,0
NETC3-I,0
Protosporangium family incertae sedis,0
Acanthocystidae,0
Heterophryidae,0
Palpitomonas family incertae sedis,0
Amastigomonas family incertae sedis,0
Chelonemonas family incertae sedis,0
Ancyromonadida,0
Apusomonas family incertae sedis,0
Subulatomonas family incertae sedis,0
Mantamonas family incertae sedis,0
Prosorhynchoides,0
Saccobolus,0
Ascobolus,0
Malassezia,0
Lagenoeca,0
Marine Choanoflagellates 1,0
Stephanoeca,0
Diaphanoeca,0
FV23-1A4,0
Rozella,0
Paramicrosporidium,0
Pirum,0
Ministeria,0
Dysnectes,0
Carpediemonas,0
Dinenympha,0
Trimastix,0
Paratrimastix,0
Lankesteria,0
Selenidium,0
Cryptosporidium,0
Eimeria,0
Margolisiella,0
Goussia,0
Rhytidocystis,0
Symbiodinium,0
Prorocentrum,0
Exuviaella,0
Azadinium,0
Halostylodinium,0
Sabulodinium,0
Sinophysis,0
Neoceratium,0
Euplotes,0
Aspidisca,0
Diophrys,0
Paradiophrys,0
Pseudokeronopsis,0
Holosticha,0
Arcuseries,0
Apokeronopsis,0
Pseudoamphisiella,0
Epiclintes,0
Tunicothrix,0
Spirotrachelostyla,0
Trachelostyla,0
Strombidium,0
Strombidinopsis,0
Pelagostrobilidium,0
Licnophora,0
Protocruzia,0
Anigsteinia,0
Eufolliculina,0
Pleuronema,0
Philaster,0
Homalogastra,0
Mesanophrys,0
Cyclidium,0
Cardiostomatella,0
Sathrophilus,0
Hyalophysa,0
Cothurnia,0
Apocarchesium,0
Frontonia,0
Cryptocaryon,0
Placus,0
Epalxella,0
Ephelota,0
Zosterodasys,0
Colponema,0
Hematodinium,0
Amoebophrya,0
Duboscquella,0
Minorisa,0
Phagomyxa,0
Spongomonas,0
Auranticordis quadriverberis genus incertae sedis,0
Cyphoderia,0
Thaumatomastix,0
Allas,0
Eocercomonas,0
Heteromita,0
Proleptomonas,0
Pseudocubus,0
Rhizosphaera,0
Amphiacon,0
Acanthometra,0
Schizochytrium,0
Aplanochytrium,0
BS1,0
E170,0
Labyrinthula,0
Aphanomyces,0
Olpidiopsis,0
Rictus,0
Cafeteria,0
Bicosoeca,0
Pseudobodo,0
Coscinodiscus,0
Actinoptychus,0
Actinocyclus,0
Amphora,0
Sellaphora,0
Rhaphoneis,0
Asterionellopsis,0
Uroglena,0
Paramoeba,0
Pseudoparamoeba,0
Vermistella,0
Pterocystis,0
Choanocystis,0
Amastigomonas,0
Chelonemonas,0
Ancyromonas,0
Apusomonas,0
Mantamonas,0
Ascobolus crenulatus,0
Pirum gemmata,0
Ministeria vibrans,0
Carpediemonas membranifera,0
Paratrimastix pyriformis ATCC50562,0
Lankesteria chelyosomae,0
Sabulodinium undulatum,0
Sinophysis ebriola,0
Sinophysis stenosoma,0
Euplotes vannus,0
Discocephalus pararotatorius,0
Diophrys apoligothrix,0
Diophrys scutum,0
Paradiophrys irmgard,0
Amphisiella candida,0
Apokeronopsis ovalis,0
Spirotrachelostyla tani,0
Strombidium capitatum,0
Strombidinopsis acuminata,0
Protocruzia adherens,0
Protocruzia granulosa,0
Anigsteinia clarissima,0
Mesanophrys carcini,0
Cyclidium plouneouri,0
Colponema vietnamica,0
Massisteria marina,0
Phagomyxa bellerocheae,0
Pseudopirsonia mucosa,0
Proleptomonas faecicola,0
Aplanochytrium stocchinoi,0
Labyrinthuloides haliotidis,0
Halodaphnea panulirata,0
Rictus lutensis,0
Bicosoeca vacillans,0
Pseudobodo tremulans,0
Coscinodiscus granii,0
Actinoptychus undulatus,0
Actinocyclus curvatulus,0
Asterionellopsis glacialis,0
Paramoeba aestuarina,0
Paramoeba pemaquidensis,0
Pterocystis tropica,0
Amastigomonas bermudensis,0
Chelonemonas geobuk,0
Apusomonas proboscidea,0
Mantamonas plastica,0
