"abundance","AverageShortestPathLength","BetweennessCentrality","class","ClosenessCentrality","ClusteringCoefficient","degree","degree.layout","Eccentricity","family","genus","IsSingleNode","kingdom","Label","name","negdegree","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","order","oriID","PartnerOfMultiEdgedNodePairs","phylum","pi","posdegree","Radiality","samplecount","selected","SelfLoops","shared name","species","Stress","superkingdom","TopologicalCoefficient","unknowndegree"
"1.1526665750606577","6.5","0.0","Maxillopoda","0.15384615384615385","0.0","1","1","9",,,"false","Metazoa (Animalia)","Harpacticoida","Harpacticoida","0","2.0","0","1","Harpacticoida","Harpacticoida","0","Arthropoda","0","1","0.8225806451612904","37","false","0","Harpacticoida",,"0","Opisthokonta","0.0","0"
"0.006910079900750785","5.5060975609756095","0.012195121951219513","Cercozoa-07.02.2003","0.18161683277962348","0.0","2","2","8",,,"false","Rhizaria","Cercozoa-07.02.2003","Cercozoa-07.02.2003","0","2.0","0","2",,"Cercozoa-07.02.2003","0","Cercozoa","0","2","0.8546420141620771","21","false","0","Cercozoa-07.02.2003",,"2148","SAR","0.5","0"
"0.0037415967035330498","4.652439024390244","0.0",,"0.21494102228047182","0.0","1","1","9",,,"false","Mesomycetozoa","Abeoformidae","Abeoformidae","0","7.0","0","1",,"Abeoformidae","0","Abeoformidae","0","1","0.8821793863099922","34","false","0","Abeoformidae",,"0","Opisthokonta","0.0","0"
"0.0010441068614631445","5.341463414634147","0.0","Bicosoecida class incertae sedis","0.1872146118721461","0.0","1","1","8","Bicosoeca family incertae sedis","Bicosoeca","false","Stramenopiles","Bicosoeca-kenaiensis","Bicosoeca-kenaiensis","0","3.0","0","1","Bicosoecida","Bicosoeca-kenaiensis","0","Bicosoecida phylum incertae sedis","4","1","0.8599527930763178","12","false","0","Bicosoeca-kenaiensis","Bicosoeca kenaiensis","0","SAR","0.0","0"
"0.001002744469990451","3.5060975609756095","0.0","Chromera class incertae sedis","0.28521739130434787","0.0","1","1","7","Chromera family incertae sedis",,"false","Alveolata","Chromera-family-incertae-sedis","Chromera-family-incertae-sedis","1","31.0","0","1","Chromera order incertae sedis","Chromera-family-incertae-sedis","0","Chromerida","2","0","0.9191581431943351","17","false","0","Chromera-family-incertae-sedis",,"0","SAR","0.0","0"
"0.0018044073037029526","1.5","0.0","Acanthoecida","0.6666666666666666","0.0","1","1","2",,,"false","Choanomonada","Stephanoecidae-order-incertae-sedis","Stephanoecidae-order-incertae-sedis","1","2.0","0","1","Stephanoecidae order incertae sedis","Stephanoecidae-order-incertae-sedis","0","Choanoflagellida","3","0","0.75","17","false","0","Stephanoecidae-order-incertae-sedis",,"0","Opisthokonta","0.0","0"
"0.00972252379294725","1.0","1.0","Peronosporomycetes","1.0","0.0","2","2","1","Halodaphnea family incertae sedis","Halodaphnea","false","Stramenopiles","Halodaphnea","Halodaphnea","2","1.0","0","2","Halodaphnea order incertae sedis","Halodaphnea","0","Peronosporomycetes phylum incertae sedis","3","0","1.0","13","false","0","Halodaphnea",,"2","SAR","0.0","0"
"8.615494165961312E-4","1.5","0.0","Bacillariophyceae","0.6666666666666666","0.0","1","1","2","Rhaphoneis family incertae sedis",,"false","Stramenopiles","Rhaphoneis-family-incertae-sedis","Rhaphoneis-family-incertae-sedis","1","2.0","0","1","Rhaphoneis order incertae sedis","Rhaphoneis-family-incertae-sedis","0","Diatomea","0","0","0.75","12","false","0","Rhaphoneis-family-incertae-sedis",,"0","SAR","0.0","0"
"0.02135089858782238","3.9878048780487805","3.71699630024088E-5","Coccidia","0.25076452599388377","0.0","2","2","8",,,"false","Alveolata","Coccidia","Coccidia","0","11.0","0","2",,"Coccidia","0","Apicomplexa","0","2","0.9036191974822974","36","false","0","Coccidia",,"10","SAR","0.5882352941176471","0"
"2.0324962956540986","3.1707317073170733","0.0018590051150104367","Chromadorea","0.3153846153846154","0.3333333333333333","3","3","6",,,"false","Metazoa (Animalia)","Monhysterida","Monhysterida","1","18.666666666666668","0","3","Monhysterida","Monhysterida","0","Nematoda","0","2","0.9299763965381589","36","false","0","Monhysterida",,"282","Opisthokonta","0.4074074074074074","0"
"0.0","5.2317073170731705","0.0","Spirotrichea","0.19114219114219116","0.0","1","1","8","Spirotrachelostyla family incertae sedis","Spirotrachelostyla","false","Alveolata","Spirotrachelostyla-tani","Spirotrachelostyla-tani","0","3.0","0","1","Hypotrichia","Spirotrachelostyla-tani","0","Ciliophora","0","1","0.8634933123524784","0","false","0","Spirotrachelostyla-tani","Spirotrachelostyla tani","0","SAR","0.0","0"
"0.01545160091991132","3.5548780487804876","0.009780033723606966","Novel Clade Gran-1","0.28130360205831906","0.0","3","3","6",,,"false","Rhizaria","Novel-Clade-Gran-1","Novel-Clade-Gran-1","1","8.0","0","3",,"Novel-Clade-Gran-1","0","Cercozoa","3","2","0.9175845790715972","28","false","0","Novel-Clade-Gran-1",,"1088","SAR","0.3684210526315789","0"
"0.004441247942861774","4.274390243902439","0.0","Novel Clade 12","0.23395149786019973","1.0","2","2","7",,,"false","Rhizaria","Novel-Clade-12","Novel-Clade-12","0","7.5","0","2",,"Novel-Clade-12","0","Cercozoa","0","2","0.8943745082612117","27","false","0","Novel-Clade-12",,"0","SAR","0.8333333333333334","0"
"0.0038992943699197977","3.5060975609756095","0.0",,"0.28521739130434787","0.0","1","1","7",,,"false",,"D4P07G08","D4P07G08","1","31.0","0","1",,"D4P07G08","0",,"0","0","0.9191581431943351","13","false","0","D4P07G08",,"0","D4P07G08","0.0","0"
