"cooc_method","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_interactiontype","methodname_pval","methodname_score","name","nulldistribmean","nulldistribmedian","nulldistribsd","oriScore","pval","pval-brown-merge","qval","randdistribMean","randdistribMedian","randdistribNumNonNaNScores","randdistribSD","selected","shared interaction","shared name","weight"
"correl_spearman|dist_kullbackleibler|correl_pearson|sim_mutInfo|dist_bray","6.972661578354177","","copresence","Hydrozoa->Scyphozoa","5","0.47560932310502263|2.3400783966483085|0.7066312073820196|0.405942090035071|0.374113476016934","correl_spearman=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence|sim_mutInfo=unknown|dist_bray=copresence","correl_spearman=0.12331320570149912|dist_kullbackleibler=0.014645725048605174|correl_pearson=0.03356847302634425|sim_mutInfo=0.26360998374778777|dist_bray=0.17019205122410574","correl_spearman=0.47560932310502263|dist_kullbackleibler=2.3400783966483085|correl_pearson=0.7066312073820196|sim_mutInfo=0.405942090035071|dist_bray=0.374113476016934","Hydrozoa->Scyphozoa","-0.023073615799999992","-0.036436455","0.18245966742343517","0.47560932310502263","0.001263291457129334","0.001263291457129334","0.003566047957061784","0.4674467048415067|2.3084019119716035|0.6890912821501939|0.3954915560314359|0.36649489509263034","0.47584439376921395|2.166456994083294|0.7051588871412595|0.39799921319370046|0.35635102449104117","100.0|100.0|100.0|100.0|100.0","0.1792503816673158|0.9206804788351504|0.1555723117490676|0.13916438774872097|0.06538653257433683","false","","Hydrozoa->Scyphozoa","0.003566047957061784"
"correl_pearson|sim_mutInfo|dist_bray|dist_kullbackleibler|correl_spearman","6.490789897719793","","copresence","Hydrozoa->Chromadorida","5","0.32421754167470096|0.1780702269089618|0.5187036243172487|5.293720863652022|0.40336145182189015","correl_pearson=copresence|sim_mutInfo=unknown|dist_bray=copresence|dist_kullbackleibler=copresence|correl_spearman=copresence","correl_pearson=0.17328935031313114|sim_mutInfo=0.3096018480145457|dist_bray=0.33026714153199443|dist_kullbackleibler=0.01398456169063933|correl_spearman=0.14109006977647343","correl_pearson=0.32421754167470096|sim_mutInfo=0.1780702269089618|dist_bray=0.5187036243172487|dist_kullbackleibler=5.293720863652022|correl_spearman=0.40336145182189015","Hydrozoa->Chromadorida","-0.09769585709999999","-0.1035646","0.14985158117537373","0.32421754167470096","0.01236697756662375","0.01236697756662375","0.030753859557212496","0.2931897204967551|0.32413219620813927|0.5137768203617405|5.112588667479014|0.37893539899565987","0.3156711101335141|0.3280491597789166|0.5126548452832922|5.006133007250941|0.4113260522552928","100.0|100.0|100.0|100.0|100.0","0.17246175920650014|0.12398149121898056|0.08491499688951715|1.5234269888492444|0.17608621845666902","false","","Hydrozoa->Chromadorida","0.030753859557212496"
"dist_bray|sim_mutInfo|correl_spearman|dist_kullbackleibler|correl_pearson","4.14047619047619","","copresence","Hydrozoa->Gastropoda","5","0.36174008709957617|0.6180514020162566|0.8071524064171125|0.8854769303502117|0.39443573923960523","dist_bray=copresence|sim_mutInfo=unknown|correl_spearman=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence","dist_bray=0.2360476532049799|sim_mutInfo=0.17959466487491493|correl_spearman=0.003851359329106796|dist_kullbackleibler=5.754599060234789E-4|correl_pearson=0.10454027088592893","dist_bray=0.36174008709957617|sim_mutInfo=0.6180514020162566|correl_spearman=0.8071524064171125|dist_kullbackleibler=0.8854769303502117|correl_pearson=0.39443573923960523","Hydrozoa->Gastropoda","0.5571701837999999","0.5601593300000001","0.047503158613664075","0.36174008709957617","4.4792292887008145E-6","4.4792292887008145E-6","1.9767490757646786E-5","0.32542285102612245|0.590977176561384|0.7955472653382456|0.7623413525910986|0.4654068761850843","0.33882879772967295|0.587394631832306|0.8149971354400237|0.8130273195561242|0.4179500820857158","100.0|100.0|100.0|100.0|100.0","0.10386812174761191|0.21501362836491666|0.09990475467574093|0.3090069234075511|0.19955506492816713","false","","Hydrozoa->Gastropoda","1.9767490757646786E-5"
"correl_pearson|dist_kullbackleibler|sim_mutInfo|correl_spearman|dist_bray","4.719949269949271","","copresence","Platyhelminthes->Plotocnide-borealis","5","0.07338100751157026|6.729847133928959|0.3140213272530801|0.5844435940093257|0.7308546567547469","correl_pearson=copresence|dist_kullbackleibler=copresence|sim_mutInfo=unknown|correl_spearman=copresence|dist_bray=copresence","correl_pearson=0.34361044064268786|dist_kullbackleibler=9.742220002939561E-6|sim_mutInfo=0.24441447143193684|correl_spearman=0.03207235950165732|dist_bray=0.3043054840625812","correl_pearson=0.07338100751157026|dist_kullbackleibler=6.729847133928959|sim_mutInfo=0.3140213272530801|correl_spearman=0.5844435940093257|dist_bray=0.7308546567547469","Platyhelminthes->Plotocnide-borealis","-0.01429939080000001","-0.077673605","0.17919938419417833","0.07338100751157026","3.5978825152493954E-6","3.5978825152493954E-6","1.6338210455721892E-5","0.12972220309147023|6.088293487248881|0.3962498355546454|0.5959063377024127|0.6934658041799389","0.09669243585271352|6.327761474906529|0.3811239901475074|0.5896142558633861|0.7067366767984209","90.0|90.0|90.0|90.0|90.0","0.127951171775959|1.8221345898144867|0.10991958902191672|0.10574708912937644|0.07348225533694355","false","","Platyhelminthes->Plotocnide-borealis","1.6338210455721892E-5"
"correl_spearman|dist_kullbackleibler|sim_mutInfo|dist_bray","10.205574071327492","","copresence","Platyhelminthes->Anthoathecata","4","0.49137640215527095|6.516993532795148|0.3563379161581506|0.7480958845284027","correl_spearman=copresence|dist_kullbackleibler=copresence|sim_mutInfo=unknown|dist_bray=copresence","correl_spearman=0.09448348747091873|dist_kullbackleibler=1.090354548043404E-4|sim_mutInfo=0.2659288075013564|dist_bray=0.3725776053553831","correl_spearman=0.49137640215527095|dist_kullbackleibler=6.516993532795148|sim_mutInfo=0.3563379161581506|dist_bray=0.7480958845284027","Platyhelminthes->Anthoathecata","-0.0104039228","-0.014229745","0.17805647450891957","0.49137640215527095","4.976666828094833E-4","4.976666828094833E-4","0.0014872257360930934","0.4836745052393576|5.995361242718225|0.3876594313681141|0.7052447741532863","0.4770736213082523|6.078653937041916|0.3726425346888371|0.7271559531622875","90.0|90.0|90.0|90.0","0.14146150012367412|1.3265863940314422|0.12953464178082483|0.09511105216168544","false","","Platyhelminthes->Anthoathecata","0.0014872257360930934"
"dist_kullbackleibler|correl_pearson|dist_bray|sim_mutInfo|correl_spearman","5.4822372072372065","","copresence","Platyhelminthes->Arthropoda","5","4.17356457300627|0.42668930559179524|0.5583609767998156|0.2847146076852103|0.514650719773313","dist_kullbackleibler=copresence|correl_pearson=copresence|dist_bray=copresence|sim_mutInfo=unknown|correl_spearman=copresence","dist_kullbackleibler=6.616946568449578E-8|correl_pearson=0.133321679020713|dist_bray=0.2236452843681851|sim_mutInfo=0.30293333438968617|correl_spearman=0.05863116970169724","dist_kullbackleibler=4.17356457300627|correl_pearson=0.42668930559179524|dist_bray=0.5583609767998156|sim_mutInfo=0.2847146076852103|correl_spearman=0.514650719773313","Platyhelminthes->Arthropoda","9.303226419800001","9.032333695","1.8870459748599013","4.17356457300627","9.456689653575268E-9","9.456689653575268E-9","6.173116857194967E-8","4.033523392893767|0.42874192563290897|0.5608054173311128|0.34156239957269996|0.5198195570289452","4.013969518107786|0.4284424050042928|0.5567404344973502|0.32746109486021124|0.5336161243411842","90.0|90.0|90.0|90.0|90.0","0.9977743333941472|0.1693546092936836|0.08714448164114831|0.10976986066778609|0.11359469098993223","false","","Platyhelminthes->Arthropoda","6.173116857194967E-8"
"sim_mutInfo|correl_pearson|dist_kullbackleibler|correl_spearman","5.005527805527805","","copresence","Platyhelminthes->Cephalothrix","4","0.4821297673937255|0.04566951543068036|7.40678252573884|0.5086120053625015","sim_mutInfo=unknown|correl_pearson=copresence|dist_kullbackleibler=copresence|correl_spearman=copresence","sim_mutInfo=0.20796822312165042|correl_pearson=0.3712211740736899|dist_kullbackleibler=4.8699295930321185E-6|correl_spearman=0.09439580907114875","sim_mutInfo=0.4821297673937255|correl_pearson=0.04566951543068036|dist_kullbackleibler=7.40678252573884|correl_spearman=0.5086120053625015","Platyhelminthes->Cephalothrix","0.17861046570000003","0.17166118","0.06875447524978776","0.4821297673937255","1.7179617744056408E-5","1.7179617744056408E-5","6.564569381875212E-5","0.4776339327567176|0.1263696392414195|6.843061444543186|0.5081485670881641","0.47513873717875565|0.04833316507001202|6.919449234928361|0.5114083135275833","90.0|90.0|90.0|90.0","0.13511536720512948|0.23568412082031326|2.297413446564541|0.14820311151012466","false","","Platyhelminthes->Cephalothrix","6.564569381875212E-5"
"dist_kullbackleibler|correl_spearman|correl_pearson|sim_mutInfo","4.773110223110224","","copresence","Platyhelminthes->Adenophorea","4","7.34313376083427|0.3869630567136719|0.034669304893019684|0.22894730356877124","dist_kullbackleibler=copresence|correl_spearman=copresence|correl_pearson=copresence|sim_mutInfo=unknown","dist_kullbackleibler=2.6935485476609067E-5|correl_spearman=0.17070022006442803|correl_pearson=0.4276244966577731|sim_mutInfo=0.33690221932598474","dist_kullbackleibler=7.34313376083427|correl_spearman=0.3869630567136719|correl_pearson=0.034669304893019684|sim_mutInfo=0.22894730356877124","Platyhelminthes->Adenophorea","12.919745906699996","13.22546337","3.89853217708955","7.34313376083427","3.2727289218359434E-4","3.2727289218359434E-4","0.0010053481001718258","7.31938893810514|0.38283940302080927|0.08108168505852276|0.3087907491095691","6.933929145664075|0.3848365036426138|0.024367862650316145|0.2999738662492919","82.0|82.0|82.0|82.0","1.923372102550242|0.16272033725120247|0.1547981324585196|0.12626248259436967","false","","Platyhelminthes->Adenophorea","0.0010053481001718258"
"sim_mutInfo|correl_spearman|correl_pearson|dist_kullbackleibler|dist_bray","5.202734784241633","","copresence","Platyhelminthes->Metridium","5","0.2724429703654494|0.4704063249981801|0.1563959778540798|4.986035572592048|0.7080703696320036","sim_mutInfo=unknown|correl_spearman=copresence|correl_pearson=copresence|dist_kullbackleibler=copresence|dist_bray=copresence","sim_mutInfo=0.32250323825119454|correl_spearman=0.12536131573418435|correl_pearson=0.24776125371296348|dist_kullbackleibler=5.329070518200751E-15|dist_bray=0.2597249570110226","sim_mutInfo=0.2724429703654494|correl_spearman=0.4704063249981801|correl_pearson=0.1563959778540798|dist_kullbackleibler=4.986035572592048|dist_bray=0.7080703696320036","Platyhelminthes->Metridium","0.14924693460000002","0.1369208","0.054444416631087934","0.2724429703654494","3.3306690738754696E-16","3.3306690738754696E-16","4.816659891450679E-15","0.318569528053138|0.4957878297813452|0.3317913008183101|4.643010770967239|0.6382456467985901","0.3163979646491053|0.5147025387701925|0.19652819182994619|4.443482934756975|0.6813348332331125","60.0|60.0|60.0|60.0|60.0","0.13507470014374848|0.18435945093739106|0.2710856459811582|1.3760767203595783|0.13307678269004564","false","","Platyhelminthes->Metridium","4.816659891450679E-15"
"sim_mutInfo|dist_kullbackleibler|correl_spearman|correl_pearson|dist_bray","3.0737595737595735","","copresence","Platyhelminthes->Chromadorida","5","0.3022421334004175|5.59812761932762|0.4755921009338567|0.1278721645603511|0.7307534461361955","sim_mutInfo=unknown|dist_kullbackleibler=copresence|correl_spearman=copresence|correl_pearson=copresence|dist_bray=copresence","sim_mutInfo=0.30368876692476016|dist_kullbackleibler=2.220446049250313E-16|correl_spearman=0.08849231344780728|correl_pearson=0.3112408225004486|dist_bray=0.2995783907596694","sim_mutInfo=0.3022421334004175|dist_kullbackleibler=5.59812761932762|correl_spearman=0.4755921009338567|correl_pearson=0.1278721645603511|dist_bray=0.7307534461361955","Platyhelminthes->Chromadorida","0.16099883909999999","0.15449261","0.06008885907519053","0.3022421334004175","0.0","0.0","0.0","0.3370288846247073|5.396808458726009|0.483197109305153|0.153268541250309|0.6863626319148765","0.31680213553103287|5.309710837335743|0.49472155195713885|0.13991653194289075|0.6994022353330547","90.0|90.0|90.0|90.0|90.0","0.11736830811750337|1.0611068630284268|0.130960739201019|0.10830854723784654|0.07852014727486843","false","","Platyhelminthes->Chromadorida","0.0"
