"cooc_method","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_interactiontype","methodname_pval","methodname_score","name","nulldistribmean","nulldistribmedian","nulldistribsd","oriScore","pval","pval-brown-merge","qval","randdistribMean","randdistribMedian","randdistribNumNonNaNScores","randdistribSD","selected","shared interaction","shared name","weight"
"sim_mutInfo|dist_kullbackleibler|dist_bray|correl_spearman","22.369310491250403","","copresence","PW19->Vampyrellidae-order-incertae-sedis","4","0.6014390658154489|0.7195323055701494|0.33812602289601634|0.679412992448487","sim_mutInfo=unknown|dist_kullbackleibler=copresence|dist_bray=copresence|correl_spearman=copresence","sim_mutInfo=0.23666744653976002|dist_kullbackleibler=2.3111634828154592E-10|dist_bray=0.19879549129022145|correl_spearman=0.020980306313503116","sim_mutInfo=0.6014390658154489|dist_kullbackleibler=0.7195323055701494|dist_bray=0.33812602289601634|correl_spearman=0.679412992448487","PW19->Vampyrellidae-order-incertae-sedis","0.14898033769999997","0.14089681","0.05156160101111674","0.6014390658154489","2.0771407927000496E-9","2.0771407927000496E-9","7.828575230865457E-8","0.43040999680754155|0.6941227713600366|0.32821040003051977|0.6610140910564587","0.43564667951881697|0.6804988358520014|0.33392586949793496|0.6791187558586014","100.0|100.0|100.0|100.0","0.1540367868885487|0.14669336773577038|0.04491510927978309|0.1011302349423011","true","","PW19->Vampyrellidae-order-incertae-sedis","7.828575230865457E-8"
"sim_mutInfo|correl_pearson|dist_kullbackleibler|correl_spearman|dist_bray","190.2038858396396","","copresence","PW19->TAGIRI-17","5","0.46034097701792764|0.6981010265062105|1.0594488920105767|0.8114491681208724|0.3370317822004708","sim_mutInfo=unknown|correl_pearson=copresence|dist_kullbackleibler=copresence|correl_spearman=copresence|dist_bray=copresence","sim_mutInfo=0.17425797506881568|correl_pearson=0.008764549153548296|dist_kullbackleibler=1.2937650950561874E-11|correl_spearman=5.523936153952191E-4|dist_bray=0.11963842107804545","sim_mutInfo=0.46034097701792764|correl_pearson=0.6981010265062105|dist_kullbackleibler=1.0594488920105767|correl_spearman=0.8114491681208724|dist_bray=0.3370317822004708","PW19->TAGIRI-17","0.14578141249999998","0.14850744","0.050480296347417075","0.46034097701792764","1.8984813721090177E-14","1.8984813721090177E-14","1.1265669248536278E-12","0.5042226869639377|0.7018934806892335|1.0221898079001128|0.793086738438657|0.3394790072190426","0.5184172696796143|0.7000289772396822|1.0030956529810948|0.8007156582976895|0.33856276592206747","100.0|100.0|100.0|100.0|100.0","0.14619066762096486|0.09460106724119705|0.2722614539566037|0.0619182466801901|0.049643062533078486","true","","PW19->TAGIRI-17","1.1265669248536278E-12"
"correl_spearman|dist_bray|dist_kullbackleibler|correl_pearson|sim_mutInfo","43.82297941338709","","copresence","PW19->Thaumatomonadidae","5","0.814425666314482|0.2279368398509879|0.3960918305078227|0.6338720084835454|0.35683833114634234","correl_spearman=copresence|dist_bray=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence|sim_mutInfo=unknown","correl_spearman=0.0034790524140668744|dist_bray=0.07690355391362957|dist_kullbackleibler=2.220446049250313E-16|correl_pearson=0.021851454891515742|sim_mutInfo=0.14227369056075723","correl_spearman=0.814425666314482|dist_bray=0.2279368398509879|dist_kullbackleibler=0.3960918305078227|correl_pearson=0.6338720084835454|sim_mutInfo=0.35683833114634234","PW19->Thaumatomonadidae","0.0291654356","0.023969789999999998","0.15890068727770768","0.814425666314482","0.0","0.0","0.0","0.7949736473952222|0.22381116135478865|0.3807360812950211|0.6653247684613784|0.6123328369676512","0.7981675660149627|0.2230454190202495|0.38545493730128955|0.6540595535816535|0.6200562481691999","100.0|100.0|100.0|100.0|100.0","0.0805164985413053|0.035125910994446084|0.09549446877354265|0.10748762714722998|0.20340361581684738","true","","PW19->Thaumatomonadidae","0.0"
"dist_bray|dist_kullbackleibler|correl_pearson","67.30447148578068","","copresence","PW19->Vampyrellidae","3","0.31728331939162324|1.448466790088904|0.657746781917155","dist_bray=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence","dist_bray=0.19074256028455672|dist_kullbackleibler=3.458676377721126E-5|correl_pearson=0.07590344400810767","dist_bray=0.31728331939162324|dist_kullbackleibler=1.448466790088904|correl_pearson=0.657746781917155","PW19->Vampyrellidae","0.5336917195999998","0.530839235","0.04827927658535893","0.31728331939162324","8.4343052677327E-4","8.4343052677327E-4","0.01077589894016233","0.3205364940025728|1.420820289959162|0.6197540648975035","0.3155908196945167|1.3308457179575663|0.6756431633038481","100.0|100.0|100.0","0.059321740694059384|0.4273047217968595|0.17074465826763538","false","","PW19->Vampyrellidae","0.01077589894016233"
"dist_kullbackleibler|correl_spearman","328.0","","mutualExclusion","D52->Oxymonadida","2","16.58908604320276|-0.47155223518598743","dist_kullbackleibler=mutualExclusion|correl_spearman=mutualExclusion","dist_kullbackleibler=4.2260000409855E-5|correl_spearman=0.07614887992509833","dist_kullbackleibler=16.58908604320276|correl_spearman=-0.47155223518598743","D52->Oxymonadida","10.538359286700002","10.011316135000001","2.4775968037994334","16.58908604320276","0.0036267109826501054","0.0036267109826501054","0.036522361386515954","15.762611192643666|-0.4964410708529656","16.387258881550657|-0.5204038411568549","68.0|68.0","1.7660219895500162|0.12516376336513746","false","","D52->Oxymonadida","0.036522361386515954"
"dist_kullbackleibler|correl_spearman|dist_bray|correl_pearson","121.1893429565038","","copresence","Freshwater-Opisthokonta->Thaumatomonadidae","4","1.2918119583090542|0.7111114083963678|0.3117365686659722|0.6539447666690045","dist_kullbackleibler=copresence|correl_spearman=copresence|dist_bray=copresence|correl_pearson=copresence","dist_kullbackleibler=2.092374968398758E-6|correl_spearman=0.0057140312035874885|dist_bray=0.11322062881188133|correl_pearson=0.009137128824997287","dist_kullbackleibler=1.2918119583090542|correl_spearman=0.7111114083963678|dist_bray=0.3117365686659722|correl_pearson=0.6539447666690045","Freshwater-Opisthokonta->Thaumatomonadidae","4.256592233499998","4.258917905000001","0.8174135767718107","1.2918119583090542","8.422722264089799E-8","8.422722264089799E-8","2.5629914550998176E-6","1.265227584814434|0.7045046588694336|0.304176680581995|0.6591703209699367","1.194620670824826|0.711558720325348|0.29471678456935674|0.668372552032142","100.0|100.0|100.0|100.0","0.4225202534567028|0.07776404419121492|0.04364787182403219|0.07574375406323171","true","","Freshwater-Opisthokonta->Thaumatomonadidae","2.5629914550998176E-6"
"dist_kullbackleibler|dist_bray|sim_mutInfo","54.96257143045785","","copresence","Freshwater-Opisthokonta->Phytomyxea","3","1.5885878209714723|0.3863882308908382|0.3266050632581199","dist_kullbackleibler=copresence|dist_bray=copresence|sim_mutInfo=unknown","dist_kullbackleibler=1.5103875328326133E-5|dist_bray=0.20382955798878521|sim_mutInfo=0.2867662302396172","dist_kullbackleibler=1.5885878209714723|dist_bray=0.3863882308908382|sim_mutInfo=0.3266050632581199","Freshwater-Opisthokonta->Phytomyxea","4.2529166081","4.11410105","0.8318014029889756","1.5885878209714723","0.001325159578025814","0.001325159578025814","0.01596488148213389","1.625392185249199|0.38893582987185077|0.3236139051280839","1.5752540888299422|0.389954586125189|0.3112611280300899","100.0|100.0|100.0","0.3966677463579758|0.05914255810403253|0.09888656597043254","false","","Freshwater-Opisthokonta->Phytomyxea","0.01596488148213389"
"correl_pearson|dist_bray|dist_kullbackleibler","200.26767210128259","","copresence","Freshwater-Opisthokonta->Marimonadida","3","0.6887859889468847|0.3926876762610081|1.4934846111772548","correl_pearson=copresence|dist_bray=copresence|dist_kullbackleibler=copresence","correl_pearson=0.058623729618006326|dist_bray=0.19819193525299772|dist_kullbackleibler=3.087184110572849E-7","correl_pearson=0.6887859889468847|dist_bray=0.3926876762610081|dist_kullbackleibler=1.4934846111772548","Freshwater-Opisthokonta->Marimonadida","0.015680944699999998","-0.0018018250000000002","0.18371001836360018","0.6887859889468847","1.3410015899717465E-5","1.3410015899717465E-5","2.615421982119721E-4","0.6538106996693338|0.3885708450277946|1.4734338193338985","0.7099555993626594|0.3807302035224437|1.3745602555266134","100.0|100.0|100.0","0.16595668934976032|0.07478431264712446|0.4132606031213733","true","","Freshwater-Opisthokonta->Marimonadida","2.615421982119721E-4"
"dist_kullbackleibler|sim_mutInfo|correl_spearman","82.50513786183829","","copresence","Freshwater-Opisthokonta->TAGIRI-17","3","1.5115872950799794|0.44246516208095366|0.7377231269537816","dist_kullbackleibler=copresence|sim_mutInfo=unknown|correl_spearman=copresence","dist_kullbackleibler=1.4432899320127035E-15|sim_mutInfo=0.17843873654301978|correl_spearman=0.003832629412778732","dist_kullbackleibler=1.5115872950799794|sim_mutInfo=0.44246516208095366|correl_spearman=0.7377231269537816","Freshwater-Opisthokonta->TAGIRI-17","5.961250890399999","5.930351785","1.3375495056617903","1.5115872950799794","1.4432899320127035E-14","1.4432899320127035E-14","8.656635742760064E-13","1.4280460144232423|0.4910553286942159|0.7273745246021605","1.4027815306190843|0.5039630251884495|0.7335883395363141","100.0|100.0|100.0","0.32957112176822817|0.13768352968363454|0.07217991435745552","true","","Freshwater-Opisthokonta->TAGIRI-17","8.656635742760064E-13"
"dist_kullbackleibler|correl_spearman","330.1473611559752","","mutualExclusion","Rhizidiomyces-family-incertae-sedis->RAD-A","2","15.556584619143354|-0.36639314706048337","dist_kullbackleibler=mutualExclusion|correl_spearman=mutualExclusion","dist_kullbackleibler=2.1247563922077717E-5|correl_spearman=0.1350472030185993","dist_kullbackleibler=15.556584619143354|correl_spearman=-0.36639314706048337","Rhizidiomyces-family-incertae-sedis->RAD-A","10.029056761400001","10.081897775","1.9208398983107704","15.556584619143354","0.003321805094124719","0.003321805094124719","0.03444057400562766","15.198379676953603|-0.38715854466344457","15.152680019251573|-0.40080479795913204","88.0|88.0","1.5947128860164077|0.12291583334009361","false","","Rhizidiomyces-family-incertae-sedis->RAD-A","0.03444057400562766"
