"cooc_method","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_interactiontype","methodname_pval","methodname_score","name","nulldistribmean","nulldistribmedian","nulldistribsd","oriScore","pval","pval-brown-merge","qval","randdistribMean","randdistribMedian","randdistribNumNonNaNScores","randdistribSD","selected","shared interaction","shared name","weight"
"correl_spearman|sim_mutInfo|correl_pearson|dist_kullbackleibler|dist_bray","14.904851902483482","","copresence","Cercozoa-07.05.2004->PW19","5","0.6835994194484765|0.32079041705749045|0.5781010220570939|0.3978807598907661|0.25074104073303005","correl_spearman=copresence|sim_mutInfo=unknown|correl_pearson=copresence|dist_kullbackleibler=copresence|dist_bray=copresence","correl_spearman=0.0054084262837668096|sim_mutInfo=0.24537539391335017|correl_pearson=0.02181278455082225|dist_kullbackleibler=1.3628691460931819E-5|dist_bray=0.18120503558056322","correl_spearman=0.6835994194484765|sim_mutInfo=0.32079041705749045|correl_pearson=0.5781010220570939|dist_kullbackleibler=0.3978807598907661|dist_bray=0.25074104073303005","Cercozoa-07.05.2004->PW19","0.012708956100000007","0.015324850000000001","0.12715568432240526","0.6835994194484765","1.1750672934685014E-6","1.1750672934685014E-6","5.021918949967502E-5","0.6728257557531973|0.3410914002780284|0.5831889337478818|0.3917407971329365|0.2499590338925104","0.6835565276533507|0.33881256151914574|0.5904980654922714|0.3810232926975003|0.2487424237199638","100.0|100.0|100.0|100.0|100.0","0.06708905560768198|0.12261506448902082|0.08733218675592502|0.06971365928238449|0.030817153817995987","true","","Cercozoa-07.05.2004->PW19","5.021918949967502E-5"
"correl_pearson|dist_bray|dist_kullbackleibler|correl_spearman","4.487301587301587","","copresence","Cercozoa-07.05.2004->Pseudopirsonia","4","0.8237987987039361|0.20387895209467688|0.32498825402310644|0.8183215230939986","correl_pearson=copresence|dist_bray=copresence|dist_kullbackleibler=copresence|correl_spearman=copresence","correl_pearson=1.0574806282859228E-6|dist_bray=0.021764424969838547|dist_kullbackleibler=7.23643367450677E-13|correl_spearman=3.1563159484443437E-4","correl_pearson=0.8237987987039361|dist_bray=0.20387895209467688|dist_kullbackleibler=0.32498825402310644|correl_spearman=0.8183215230939986","Cercozoa-07.05.2004->Pseudopirsonia","-0.0239529235","-0.015466105","0.1452458268957957","0.8237987987039361","0.0","0.0","0.0","0.8299445571882044|0.20189287025476443|0.3137301951727489|0.8122896593745557","0.8337500141819749|0.2001821563266254|0.30829184495355155|0.8214926129112892","100.0|100.0|100.0|100.0","0.03242402190987876|0.022351224132280058|0.0614513578586999|0.059233867263485056","true","","Cercozoa-07.05.2004->Pseudopirsonia","0.0"
"dist_kullbackleibler|dist_bray|correl_pearson|correl_spearman|sim_mutInfo","17.24563492063495","","copresence","Cercozoa-07.05.2004->Labyrinthuloides","5","0.3566193413367349|0.19614202594205032|0.7895341173783271|0.7635960044395121|0.2633931010766415","dist_kullbackleibler=copresence|dist_bray=copresence|correl_pearson=copresence|correl_spearman=copresence|sim_mutInfo=unknown","dist_kullbackleibler=3.5380586349553766E-8|dist_bray=0.04821939951903087|correl_pearson=4.6031587743045055E-4|correl_spearman=0.002079159929371577|sim_mutInfo=0.23815779568630235","dist_kullbackleibler=0.3566193413367349|dist_bray=0.19614202594205032|correl_pearson=0.7895341173783271|correl_spearman=0.7635960044395121|sim_mutInfo=0.2633931010766415","Cercozoa-07.05.2004->Labyrinthuloides","1.9114875408000003","1.92520807","0.29092385049163194","0.3566193413367349","3.5080383042895846E-11","3.5080383042895846E-11","4.02069026557554E-9","0.3498342902286111|0.19564740853674906|0.7896900710378693|0.7495020514185091|0.3740006189044419","0.3357815558415836|0.1965327589053349|0.7898631704775834|0.7484281592612274|0.3813301682969932","100.0|100.0|100.0|100.0|100.0","0.08396845837495479|0.025729803866121774|0.055467948855225296|0.0669597046330267|0.14135712963357222","true","","Cercozoa-07.05.2004->Labyrinthuloides","4.02069026557554E-9"
"dist_bray|correl_spearman|dist_kullbackleibler|correl_pearson","4.542857142857144","","copresence","Cercozoa-07.05.2004->Apusozoa","4","0.2925559920007976|0.7175787586442419|0.5093706770215293|0.5627750404913543","dist_bray=copresence|correl_spearman=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence","dist_bray=0.15293589861107015|correl_spearman=0.00203909571994898|dist_kullbackleibler=5.491023726822419E-6|correl_pearson=0.022041656348039063","dist_bray=0.2925559920007976|correl_spearman=0.7175787586442419|dist_kullbackleibler=0.5093706770215293|correl_pearson=0.5627750404913543","Cercozoa-07.05.2004->Apusozoa","0.4760130054999999","0.477759815","0.039658392709780194","0.2925559920007976","6.909187341141987E-7","6.909187341141987E-7","3.056406294857811E-5","0.28913214337571275|0.7000327292487615|0.503324568276856|0.5678138517909403","0.2875130462100489|0.704680477608717|0.5043765405230085|0.5762301899118907","100.0|100.0|100.0|100.0","0.03331158773411983|0.057692036391158656|0.10703955709046113|0.08696125616453773","true","","Cercozoa-07.05.2004->Apusozoa","3.056406294857811E-5"
"dist_bray|correl_spearman|dist_kullbackleibler|correl_pearson","21.93824561403508","","copresence","Cercozoa-07.05.2004->DH147-EKD10","4","0.31861309833791196|0.6178165969417396|1.103448518407755|0.633176470958485","dist_bray=copresence|correl_spearman=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence","dist_bray=0.15206111717246207|correl_spearman=0.023631033842705262|dist_kullbackleibler=2.3812107329534982E-4|correl_pearson=0.015549271808083742","dist_bray=0.31861309833791196|correl_spearman=0.6178165969417396|dist_kullbackleibler=1.103448518407755|correl_pearson=0.633176470958485","Cercozoa-07.05.2004->DH147-EKD10","0.5125794220999998","0.51922481","0.04440156949581738","0.31861309833791196","8.077433238928844E-5","8.077433238928844E-5","0.0022018646391307115","0.3134140379313987|0.6124573123859396|1.0872902608101682|0.6411327918243777","0.3087978648570656|0.6239071368124701|1.0431954732742026|0.6464709356613867","100.0|100.0|100.0|100.0","0.037562212391255|0.08840069575324624|0.2782346966275677|0.08465916622620165","false","","Cercozoa-07.05.2004->DH147-EKD10","0.0022018646391307115"
"dist_bray|dist_kullbackleibler|correl_pearson|correl_spearman","5734.0","","copresence","Fungi->Scuticociliatia","4","0.31923000003315316|0.9208446860223124|0.5517467695468525|0.6080440768762495","dist_bray=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence|correl_spearman=copresence","dist_bray=0.1742132449985314|dist_kullbackleibler=0.0016134694017542195|correl_pearson=0.006615756820128216|correl_spearman=0.01637398265220097","dist_bray=0.31923000003315316|dist_kullbackleibler=0.9208446860223124|correl_pearson=0.5517467695468525|correl_spearman=0.6080440768762495","Fungi->Scuticociliatia","0.4748370144","0.471446355","0.03755803423836144","0.31923000003315316","1.5428021374930267E-4","1.5428021374930267E-4","0.0037768695045521036","0.31434823151449653|0.8968802940247462|0.571310595579554|0.6159295859647197","0.3105888750733064|0.8921394763722164|0.56436843315257|0.6221568176484167","100.0|100.0|100.0|100.0","0.02929623324657278|0.18829281275633242|0.05556887429280744|0.0842520033109402","false","","Fungi->Scuticociliatia","0.0037768695045521036"
"dist_kullbackleibler|correl_spearman|correl_pearson|sim_mutInfo|dist_bray","3240.282739212013","","copresence","Fungi->Marimonadida","5","0.33830602884700395|0.6977717066507304|0.6967627864648132|0.40681669851923075|0.23609565000820865","dist_kullbackleibler=copresence|correl_spearman=copresence|correl_pearson=copresence|sim_mutInfo=unknown|dist_bray=copresence","dist_kullbackleibler=7.815373671449244E-6|correl_spearman=0.005939242531700861|correl_pearson=0.003125569280405971|sim_mutInfo=0.2883149925323579|dist_bray=0.11292053687335957","dist_kullbackleibler=0.33830602884700395|correl_spearman=0.6977717066507304|correl_pearson=0.6967627864648132|sim_mutInfo=0.40681669851923075|dist_bray=0.23609565000820865","Fungi->Marimonadida","1.3574950316000005","1.3666850300000002","0.1846751596626267","0.33830602884700395","1.2067401422566348E-7","1.2067401422566348E-7","6.915443792500238E-6","0.3277671668407826|0.7010762355515732|0.7050453149092661|0.3212182258164495|0.2334627067785376","0.3221761319924365|0.7114762510287158|0.7078564880234179|0.33525863697103264|0.23348068427799906","100.0|100.0|100.0|100.0|100.0","0.05682723225317881|0.07871092823117688|0.07136253750001187|0.14966888327348865|0.025812931985735855","true","","Fungi->Marimonadida","6.915443792500238E-6"
"correl_spearman|correl_pearson|sim_mutInfo|dist_kullbackleibler|dist_bray","2555.717260787991","","copresence","Fungi->CCW10","5","0.6462904465124225|0.6564190442268486|0.2764485798807428|0.2762485354782042|0.19407570133930496","correl_spearman=copresence|correl_pearson=copresence|sim_mutInfo=unknown|dist_kullbackleibler=copresence|dist_bray=copresence","correl_spearman=0.01099270488058679|correl_pearson=0.0026046033337406294|sim_mutInfo=0.2780259243940735|dist_kullbackleibler=0.0030918068927912046|dist_bray=0.16197548188692112","correl_spearman=0.6462904465124225|correl_pearson=0.6564190442268486|sim_mutInfo=0.2764485798807428|dist_kullbackleibler=0.2762485354782042|dist_bray=0.19407570133930496","Fungi->CCW10","-0.035627934599999994","-0.03683941","0.14276976706903458","0.6462904465124225","3.10923974954358E-5","3.10923974954358E-5","9.445720516233899E-4","0.6516212814473209|0.6638912847930085|0.3214918896925248|0.268816335450901|0.19430176703706759","0.6544398562938898|0.6638708780058349|0.3323471352159927|0.26523238429686435|0.19394763731144232","100.0|100.0|100.0|100.0|100.0","0.09001657109365972|0.06456603411484182|0.1504159597547292|0.059834523663437264|0.02655117167656275","false","","Fungi->CCW10","9.445720516233899E-4"
"correl_spearman|correl_pearson|dist_bray|sim_mutInfo","216.0","","copresence","Mesomycetozoa->Chlorarachniophyta","4","0.6556072286318494|0.9177788366837697|0.3215077664788428|0.25458339503692895","correl_spearman=copresence|correl_pearson=copresence|dist_bray=copresence|sim_mutInfo=unknown","correl_spearman=0.01902170271265413|correl_pearson=0.003146986654340045|dist_bray=0.040028352848342275|sim_mutInfo=0.23788747746829414","correl_spearman=0.6556072286318494|correl_pearson=0.9177788366837697|dist_bray=0.3215077664788428|sim_mutInfo=0.25458339503692895","Mesomycetozoa->Chlorarachniophyta","0.0120612737","0.007320615000000001","0.1348502314803457","0.6556072286318494","0.0014226926291291964","0.0014226926291291964","0.02517417167964399","0.6500713435866752|0.8871793481652694|0.33127811530128937|0.30019877655774796","0.660157319297314|0.9146213154232301|0.3222481769695919|0.2944962080189488","80.0|80.0|80.0|80.0","0.09459661599500771|0.10572548975889173|0.08472747776079703|0.10209800507918552","false","","Mesomycetozoa->Chlorarachniophyta","0.02517417167964399"
"dist_bray|correl_pearson|sim_mutInfo|correl_spearman|dist_kullbackleibler","4.010024154589373","","copresence","LKM11->ME-Euk-FW10","5","0.3170509857753907|0.6666252219216319|0.2910759914292673|0.7679765067445533|1.1989329157036601","dist_bray=copresence|correl_pearson=copresence|sim_mutInfo=unknown|correl_spearman=copresence|dist_kullbackleibler=copresence","dist_bray=0.08512115768452577|correl_pearson=0.023449676471888004|sim_mutInfo=0.18731465402586733|correl_spearman=0.0017897106709141575|dist_kullbackleibler=1.2830736473290472E-11","dist_bray=0.3170509857753907|correl_pearson=0.6666252219216319|sim_mutInfo=0.2910759914292673|correl_spearman=0.7679765067445533|dist_kullbackleibler=1.1989329157036601","LKM11->ME-Euk-FW10","0.6310196922","0.633668575","0.057665415927696625","0.3170509857753907","1.18760556944153E-12","1.18760556944153E-12","1.5356653555624705E-10","0.30672474213505174|0.6739729706646999|0.4395964834430759|0.7626428752282327|1.1364097204629764","0.3139928319799272|0.6705129356353026|0.43034340380632274|0.7641209881897952|1.0772556332728247","100.0|100.0|100.0|100.0|100.0","0.05591596892537255|0.12076516303399133|0.14473661322449197|0.07325076870985951|0.4343273163711916","true","","LKM11->ME-Euk-FW10","1.5356653555624705E-10"
