"cooc_method","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_interactiontype","methodname_pval","methodname_score","name","nulldistribmean","nulldistribmedian","nulldistribsd","oriScore","pval","pval-brown-merge","qval","randdistribMean","randdistribMedian","randdistribNumNonNaNScores","randdistribSD","selected","shared interaction","shared name","weight"
"correl_pearson|correl_spearman|dist_bray|sim_mutInfo|dist_kullbackleibler","22.926996151996153","","mutualExclusion","Spiophanes-bombyx->Basommatophora","5","-0.19448346413357115|-0.44715183662143615|0.9646575932909869|0.24029491631069488|19.121209370814178","correl_pearson=mutualExclusion|correl_spearman=mutualExclusion|dist_bray=mutualExclusion|sim_mutInfo=unknown|dist_kullbackleibler=mutualExclusion","correl_pearson=0.22157612796722148|correl_spearman=0.09022716809001552|dist_bray=0.15130208837099546|sim_mutInfo=0.2541846449869064|dist_kullbackleibler=2.9224784703352213E-7","correl_pearson=-0.19448346413357115|correl_spearman=-0.44715183662143615|dist_bray=0.9646575932909869|sim_mutInfo=0.24029491631069488|dist_kullbackleibler=19.121209370814178","Spiophanes-bombyx->Basommatophora","-0.06280564739999998","-0.07905614","0.08946847152843038","-0.19448346413357115","1.6298566551942173E-7","1.6298566551942173E-7","1.880768798164906E-6","-0.21387856997252686|-0.4552879131261895|0.9628571326481626|0.30134335477367247|18.803264823476137","-0.21092266296612078|-0.47245452747553957|0.9658688837044958|0.2940589918513874|18.617783355779807","100.0|100.0|100.0|100.0|100.0","0.03880764391856339|0.10548650531373924|0.015129049438903924|0.09017895890362446|1.5906876179577","false","","Spiophanes-bombyx->Basommatophora","1.880768798164906E-6"
"dist_bray|correl_spearman|correl_pearson|dist_kullbackleibler|sim_mutInfo","16.869952519952516","","mutualExclusion","Spiophanes-bombyx->Crinoidea","5","0.9428474901963766|-0.3434853328846259|-0.15627344037715707|20.27158364227244|0.14136449356723713","dist_bray=mutualExclusion|correl_spearman=mutualExclusion|correl_pearson=mutualExclusion|dist_kullbackleibler=mutualExclusion|sim_mutInfo=unknown","dist_bray=0.26597457439428396|correl_spearman=0.20608706367238694|correl_pearson=0.19254744735279128|dist_kullbackleibler=1.7066844941182602E-5|sim_mutInfo=0.39299756740444824","dist_bray=0.9428474901963766|correl_spearman=-0.3434853328846259|correl_pearson=-0.15627344037715707|dist_kullbackleibler=20.27158364227244|sim_mutInfo=0.14136449356723713","Spiophanes-bombyx->Crinoidea","0.8367877281000002","0.8463938099999999","0.07135209548490641","0.9428474901963766","5.4689682361552805E-5","5.4689682361552805E-5","3.899418815535107E-4","0.9374008903191536|-0.3274743294663086|-0.1733412545556748|19.790236622184388|0.19128338462539113","0.9418867735193346|-0.3219537467466374|-0.1721587030967443|19.732190155658746|0.1865830280580305","100.0|100.0|100.0|100.0|100.0","0.025912133438765986|0.1337317945320435|0.033708938415993976|1.6935520502908352|0.07719056775823151","false","","Spiophanes-bombyx->Crinoidea","3.899418815535107E-4"
"correl_spearman|dist_bray|dist_kullbackleibler|correl_pearson|sim_mutInfo","23.90667388167388","","mutualExclusion","Spiophanes-bombyx->Pycnogonida","5","-0.28274916388456905|0.9611594503191063|21.030043094048416|-0.16111084555614913|0.12901895106025885","correl_spearman=mutualExclusion|dist_bray=mutualExclusion|dist_kullbackleibler=mutualExclusion|correl_pearson=mutualExclusion|sim_mutInfo=unknown","correl_spearman=0.21203839032163863|dist_bray=0.30047561118333377|dist_kullbackleibler=1.7102233004384626E-4|correl_pearson=0.1958477302399988|sim_mutInfo=0.35065669740577","correl_spearman=-0.28274916388456905|dist_bray=0.9611594503191063|dist_kullbackleibler=21.030043094048416|correl_pearson=-0.16111084555614913|sim_mutInfo=0.12901895106025885","Spiophanes-bombyx->Pycnogonida","0.008387878700000004","-0.011060875000000001","0.1606329534104432","-0.28274916388456905","5.096463139903085E-4","5.096463139903085E-4","0.002660475103389884","-0.2779545847572901|0.9525841902036689|20.738883226975762|-0.16972132517247393|0.18240294147784566","-0.2789841298396687|0.9627199504435326|20.743931140892307|-0.17069626251404107|0.1818707478817867","88.0|88.0|88.0|88.0|88.0","0.1283150132186439|0.03787373983158201|2.147480151380533|0.03063557625653307|0.08164661419681368","false","","Spiophanes-bombyx->Pycnogonida","0.002660475103389884"
"correl_spearman|correl_pearson|dist_kullbackleibler|dist_bray","16.129160654160657","","mutualExclusion","Spiophanes-bombyx->Onychophorida","4","-0.1628378860869505|-0.1686013448880659|19.41987495755187|0.9421786116123122","correl_spearman=mutualExclusion|correl_pearson=mutualExclusion|dist_kullbackleibler=mutualExclusion|dist_bray=mutualExclusion","correl_spearman=0.3475099862237774|correl_pearson=0.21863455412833455|dist_kullbackleibler=4.639005482404146E-4|dist_bray=0.3070099647000273","correl_spearman=-0.1628378860869505|correl_pearson=-0.1686013448880659|dist_kullbackleibler=19.41987495755187|dist_bray=0.9421786116123122","Spiophanes-bombyx->Onychophorida","-0.0019970793999999964","0.017409235000000002","0.14742835214893132","-0.1628378860869505","0.005442386489467044","0.005442386489467044","0.021995267056509664","-0.13702143230997915|-0.17750718535227383|18.619530158860798|0.9311824798674583","-0.14190722834902142|-0.17202796821579136|18.642844212078977|0.9353987936756722","94.0|94.0|94.0|94.0","0.11861439588040958|0.03298741143977869|2.0843979095218836|0.02873672862568778","false","","Spiophanes-bombyx->Onychophorida","0.021995267056509664"
"correl_spearman|dist_kullbackleibler|correl_pearson|dist_bray","11.561058756058756","","mutualExclusion","Aricidea->Poecilosclerida","4","-0.3824583652291876|20.985313975121407|-0.1772780967885181|0.9705765138140531","correl_spearman=mutualExclusion|dist_kullbackleibler=mutualExclusion|correl_pearson=mutualExclusion|dist_bray=mutualExclusion","correl_spearman=0.12597590924559743|dist_kullbackleibler=5.511560848869834E-5|correl_pearson=0.21400487356453834|dist_bray=0.1752263986989615","correl_spearman=-0.3824583652291876|dist_kullbackleibler=20.985313975121407|correl_pearson=-0.1772780967885181|dist_bray=0.9705765138140531","Aricidea->Poecilosclerida","-0.029186667299999986","-0.03203143","0.14981907925543278","-0.3824583652291876","1.9025336042388652E-4","1.9025336042388652E-4","0.0011507048075293","-0.3972600577910421|20.47580700339408|-0.18829363407729285|0.9677498165887667","-0.40623536239060043|20.28655998865363|-0.18598068309795143|0.969219557908751","56.0|56.0|56.0|56.0","0.10322539923079063|1.7636950450418736|0.03353459557196913|0.017235337293712245","false","","Aricidea->Poecilosclerida","0.0011507048075293"
"correl_pearson|dist_kullbackleibler|correl_spearman|dist_bray","6.73905723905724","","mutualExclusion","Aricidea->Adenophorea","4","-0.13558414739595326|24.579056660624907|-0.2974043715846995|0.9592541541305164","correl_pearson=mutualExclusion|dist_kullbackleibler=mutualExclusion|correl_spearman=mutualExclusion|dist_bray=mutualExclusion","correl_pearson=0.3485575395091105|dist_kullbackleibler=6.032552107131384E-4|correl_spearman=0.1594709308508815|dist_bray=0.3030483451106186","correl_pearson=-0.13558414739595326|dist_kullbackleibler=24.579056660624907|correl_spearman=-0.2974043715846995|dist_bray=0.9592541541305164","Aricidea->Adenophorea","-0.0603737371","-0.08375358","0.1013616065140211","-0.13558414739595326","0.005159973828942621","0.005159973828942621","0.021146247887769528","-0.1430989736019334|23.78974686397618|-0.31835679153779806|0.9525461815251293","-0.15115299385383998|23.983771686142585|-0.33508341594371316|0.9575229178853225","10.0|10.0|10.0|10.0","0.04517423162294799|2.128785190734133|0.09639157468484466|0.030447386416956324","false","","Aricidea->Adenophorea","0.021146247887769528"
"correl_pearson|dist_bray|dist_kullbackleibler|correl_spearman","24.84743256743257","","mutualExclusion","Aricidea->Malacostraca","4","-0.09809764422994918|0.9655768476745051|22.594118526379894|-0.42072383093008275","correl_pearson=mutualExclusion|dist_bray=mutualExclusion|dist_kullbackleibler=mutualExclusion|correl_spearman=mutualExclusion","correl_pearson=0.2692952455740756|dist_bray=0.29095727145673167|dist_kullbackleibler=2.9741795594451226E-5|correl_spearman=0.11594772067355752","correl_pearson=-0.09809764422994918|dist_bray=0.9655768476745051|dist_kullbackleibler=22.594118526379894|correl_spearman=-0.42072383093008275","Aricidea->Malacostraca","-0.009229687099999996","-0.0618713","0.14052320418112257","-0.09809764422994918","1.97031773659484E-4","1.97031773659484E-4","0.0011835401746532017","-0.16234499523261972|0.9546286598883024|20.985416833752385|-0.4417168023506918","-0.1510264879144629|0.9602152234301831|20.84393526819676|-0.456616956782518","56.0|56.0|56.0|56.0","0.06199597510235457|0.02669166456493572|2.7955311911705807|0.10053989426150481","false","","Aricidea->Malacostraca","0.0011835401746532017"
"sim_mutInfo|correl_pearson|correl_spearman|dist_kullbackleibler","15.758469678469678","","mutualExclusion","Aricidea->Enterogona","4","0.14068269463155003|-0.17049957963095438|-0.33756409791985026|21.265499850099715","sim_mutInfo=unknown|correl_pearson=mutualExclusion|correl_spearman=mutualExclusion|dist_kullbackleibler=mutualExclusion","sim_mutInfo=0.3245865373689589|correl_pearson=0.21238666858223054|correl_spearman=0.18670478931773804|dist_kullbackleibler=1.8852850363737517E-5","sim_mutInfo=0.14068269463155003|correl_pearson=-0.17049957963095438|correl_spearman=-0.33756409791985026|dist_kullbackleibler=21.265499850099715","Aricidea->Enterogona","0.08222658489999998","0.08066698","0.04132045693088559","0.14068269463155003","1.779959568605216E-4","1.779959568605216E-4","0.001091625553613129","0.1911033301598016|-0.173113528995146|-0.3442059910038923|20.5902329793829","0.1864221520852286|-0.17132153292854574|-0.36349360987777585|20.619498852755427","56.0|56.0|56.0|56.0","0.057281827773650096|0.037608355611308465|0.12134873924198208|2.0033708978038733","false","","Aricidea->Enterogona","0.001091625553613129"
"correl_spearman|correl_pearson|dist_kullbackleibler|dist_bray","19.61972101972102","","mutualExclusion","Aricidea->Pycnogonida","4","-0.2706974170636498|-0.160227981732014|25.06073665192326|0.9869450079772196","correl_spearman=mutualExclusion|correl_pearson=mutualExclusion|dist_kullbackleibler=mutualExclusion|dist_bray=mutualExclusion","correl_spearman=0.19208196884932227|correl_pearson=0.18674585603767901|dist_kullbackleibler=2.471097770850861E-10|dist_bray=0.12729850881848748","correl_spearman=-0.2706974170636498|correl_pearson=-0.160227981732014|dist_kullbackleibler=25.06073665192326|dist_bray=0.9869450079772196","Aricidea->Pycnogonida","-0.005769991399999993","-0.015249635000000001","0.12456250297342673","-0.2706974170636498","5.690220516996192E-10","5.690220516996192E-10","9.98064678681132E-9","-0.28247870190553426|-0.17112611633995692|24.431778786847673|0.9837389109180404","-0.2962076593449764|-0.16854497556328155|24.74754659981224|0.9870918236846364","46.0|46.0|46.0|46.0","0.10110155943322693|0.029614810118098273|1.1993293039474582|0.011613324871741687","true","","Aricidea->Pycnogonida","9.98064678681132E-9"
"dist_kullbackleibler|correl_spearman|dist_bray","14.78048618048618","","mutualExclusion","Aricidea->Echinocardium-cordatum","3","29.248629559843017|-0.23024988230897486|0.9967666982509525","dist_kullbackleibler=mutualExclusion|correl_spearman=mutualExclusion|dist_bray=mutualExclusion","dist_kullbackleibler=3.076838931292958E-5|correl_spearman=0.2847594772150994|dist_bray=0.3608957557274346","dist_kullbackleibler=29.248629559843017|correl_spearman=-0.23024988230897486|dist_bray=0.9967666982509525","Aricidea->Echinocardium-cordatum","22.096332039499995","22.066557875","5.475829246953847","29.248629559843017","0.0018746266218145902","0.0018746266218145902","0.008383554497498608","27.909766449636066|-0.22779742612344828|0.9904141569178231","28.420530543538938|-0.23396228369817382|0.9968688412914022","54.0|54.0|54.0","2.105046864541355|0.12830389972500555|0.019278021632399757","false","","Aricidea->Echinocardium-cordatum","0.008383554497498608"
"dist_kullbackleibler|dist_bray|correl_pearson|correl_spearman","17.263642838642838","","mutualExclusion","Aricidea->Capitella-capitata","4","27.178361261002365|0.9988549432785305|-0.12107231668327256|-0.12172411656884378","dist_kullbackleibler=mutualExclusion|dist_bray=mutualExclusion|correl_pearson=mutualExclusion|correl_spearman=mutualExclusion","dist_kullbackleibler=0.007379986849971654|dist_bray=0.0015351066994429008|correl_pearson=0.4034226117373425|correl_spearman=0.39696775030901976","dist_kullbackleibler=27.178361261002365|dist_bray=0.9988549432785305|correl_pearson=-0.12107231668327256|correl_spearman=-0.12172411656884378","Aricidea->Capitella-capitata","22.653419597700008","22.78785956","3.659846649162281","27.178361261002365","0.0011419121274846011","0.0011419121274846011","0.005384177074215028","26.532190929794115|0.9984740859401592|-0.1198804656591354|-0.12072766741707748","27.05672770111944|0.9987123311144518|-0.11966005217145693|-0.15426493700920385","50.0|50.0|50.0|50.0","2.530720562475941|0.001293215172361397|0.031170640106417527|0.12903754087662156","false","","Aricidea->Capitella-capitata","0.005384177074215028"
"dist_bray|correl_pearson|dist_kullbackleibler|correl_spearman","15.232928552928554","","mutualExclusion","Aricidea->Ascidiacea","4","0.9419242094800573|-0.1720865687973194|21.344271438382293|-0.22905918967368497","dist_bray=mutualExclusion|correl_pearson=mutualExclusion|dist_kullbackleibler=mutualExclusion|correl_spearman=mutualExclusion","dist_bray=0.2794017766667848|correl_pearson=0.21851221618487215|dist_kullbackleibler=1.70589954881728E-4|correl_spearman=0.2854533869827718","dist_bray=0.9419242094800573|correl_pearson=-0.1720865687973194|dist_kullbackleibler=21.344271438382293|correl_spearman=-0.22905918967368497","Aricidea->Ascidiacea","0.8308761790000001","0.84673303","0.07577951835774802","0.9419242094800573","0.0017750345763466457","0.0017750345763466457","0.008065830691481908","0.9296042564089253|-0.17837581880703843|20.324936845293482|-0.2176209918567223","0.9331307923011334|-0.17652005378185553|20.719733229821657|-0.22128599500282056","56.0|56.0|56.0|56.0","0.02851902525803513|0.03243592616301313|2.0415004958664906|0.11551719731633639","false","","Aricidea->Ascidiacea","0.008065830691481908"
"dist_kullbackleibler|correl_pearson|sim_mutInfo|dist_bray|correl_spearman","17.55078384578385","","mutualExclusion","Aricidea->Monogononta","5","23.539681311152084|-0.23205495610102947|0.18488752561159005|0.9571825930703828|-0.3963081253712098","dist_kullbackleibler=mutualExclusion|correl_pearson=mutualExclusion|sim_mutInfo=unknown|dist_bray=mutualExclusion|correl_spearman=mutualExclusion","dist_kullbackleibler=7.399874046853938E-9|correl_pearson=0.17025290383237146|sim_mutInfo=0.286858751034335|dist_bray=0.22701942397778208|correl_spearman=0.13902945006840772","dist_kullbackleibler=23.539681311152084|correl_pearson=-0.23205495610102947|sim_mutInfo=0.18488752561159005|dist_bray=0.9571825930703828|correl_spearman=-0.3963081253712098","Aricidea->Monogononta","15.564340149800003","15.50313525","2.651145292532731","23.539681311152084","6.932486029675999E-9","6.932486029675999E-9","9.499672262540393E-8","22.635884545475225|-0.24101945530724073|0.2224274378399985|0.9488089302523216|-0.38443712778432865","22.76311071062122|-0.23506831620325339|0.21653913776769285|0.9494869152896984|-0.3898455168545637","56.0|56.0|56.0|56.0|56.0","1.5588422101150505|0.03922912328012887|0.07074095510438416|0.021082775069911287|0.10419713217518377","false","","Aricidea->Monogononta","9.499672262540393E-8"
