"","NSI","piMetals","pi","piHC"
"SWARM_3525",NA,NA,NA,NA
"SWARM_15419",NA,NA,NA,NA
"SWARM_13819",NA,NA,NA,NA
"SWARM_37296",NA,NA,NA,NA
"SWARM_22910",NA,NA,NA,NA
"SWARM_24424",NA,NA,NA,NA
"SWARM_13102",NA,NA,NA,NA
"SWARM_12473",NA,NA,NA,NA
"SWARM_12475",NA,NA,NA,NA
"SWARM_17488",NA,NA,NA,NA
"SWARM_16577",NA,NA,NA,NA
"SWARM_16688",NA,NA,NA,NA
"SWARM_4299",NA,NA,NA,NA
"SWARM_4290",NA,NA,NA,NA
"SWARM_4291",NA,NA,NA,NA
"SWARM_4292",NA,NA,NA,NA
"SWARM_4295",NA,NA,NA,NA
"SWARM_4296",NA,NA,NA,NA
"SWARM_2451",NA,NA,NA,NA
"SWARM_11628",NA,NA,NA,NA
"SWARM_5653",NA,NA,NA,NA
"SWARM_5652",NA,NA,NA,NA
"SWARM_14869",NA,NA,NA,NA
"SWARM_5654",NA,NA,NA,NA
"SWARM_14861",NA,NA,NA,NA
"SWARM_2924",NA,NA,NA,NA
"SWARM_2925",NA,NA,NA,NA
"SWARM_2926",NA,NA,NA,NA
"SWARM_2920",NA,NA,NA,NA
"SWARM_2921",NA,NA,NA,NA
"SWARM_2922",NA,NA,NA,NA
"SWARM_2923",NA,NA,NA,NA
"SWARM_2928",NA,NA,NA,NA
"SWARM_877",NA,NA,NA,NA
"SWARM_871",27.845,NA,NA,NA
"SWARM_873",NA,1.08454946633826,1.05379633430639,0.236111111111111
"SWARM_872",26.37,2.89433967911877,3.64231080237411,0.304259259259259
"SWARM_878",NA,NA,NA,NA
"SWARM_6838",NA,NA,NA,NA
"SWARM_6835",NA,NA,NA,NA
"SWARM_9894",NA,NA,NA,NA
"SWARM_6832",NA,NA,NA,NA
"SWARM_6833",NA,NA,NA,NA
"SWARM_7724",NA,NA,NA,NA
"SWARM_7723",NA,NA,NA,NA
"SWARM_7729",NA,NA,NA,NA
"SWARM_7728",NA,NA,NA,NA
"SWARM_29",27.35,2.27048653872468,NA,NA
"SWARM_28",27.35,NA,0.301729003223256,0.242222222222223
"SWARM_22",9.135,3.10183382081281,3.64231080237411,3.16534722222222
"SWARM_25",7.005,2.89433967911877,3.64231080237411,4.18416666666667
"SWARM_24",27.35,2.16796319102354,NA,NA
"SWARM_27",26.5,2.7220620809387,3.64231080237411,NA
"SWARM_26",NA,3.10183382081281,3.5157965158046,NA
"SWARM_8120",NA,NA,NA,NA
"SWARM_8121",NA,NA,NA,NA
"SWARM_8129",NA,NA,NA,NA
"SWARM_13072",NA,NA,NA,NA
"SWARM_9835",NA,NA,NA,NA
