"","NSI","piMetals","pi","piHC"
"SWARM_872",75.95,76.24,84.71,78.9
"SWARM_878",0,0,0,0
"SWARM_6838",0,0,0,0
"SWARM_6835",0,0,0,0
"SWARM_9894",0,0,0,0
"SWARM_6832",0,0,0,0
"SWARM_6833",0,0,0,0
"SWARM_7724",0,0,0,0
"SWARM_7723",0,0,0,0
"SWARM_7729",0,0,0,0
"SWARM_7728",0,0,0,0
"SWARM_29",100,68.65,0,0
"SWARM_28",85.67,0,72.96,75.78
"SWARM_22",78.56,92.25,72.01,65.4
"SWARM_25",88.28,83.61,77.06,79.79
"SWARM_24",88.89,66.98,0,0
"SWARM_27",80.2,72.08,69.29,0
"SWARM_26",0,91.22,79.97,0
"SWARM_8120",0,0,0,0
"SWARM_8121",0,0,0,0
"SWARM_8129",0,0,0,0
"SWARM_13072",0,0,0,0
"SWARM_9835",0,0,0,0
"SWARM_9834",0,0,0,0
"SWARM_3720",0,0,0,0
"SWARM_3725",0,0,0,0
"SWARM_3724",0,0,0,0
"SWARM_3726",0,0,0,0
"SWARM_3729",0,0,0,0
"SWARM_1502",0,0,0,0
"SWARM_1769",0,0,0,0
"SWARM_1768",0,0,0,0
"SWARM_1762",0,0,0,0
"SWARM_1761",0,0,0,0
"SWARM_1760",0,0,0,0
"SWARM_1767",94.44,0,0,71.18
"SWARM_1765",0,0,0,0
"SWARM_3899",0,0,0,0
"SWARM_3898",0,0,0,0
"SWARM_657",0,0,0,0
"SWARM_3893",0,0,0,0
"SWARM_3890",0,0,0,0
"SWARM_3896",0,0,0,0
"SWARM_3895",0,0,0,0
"SWARM_3894",0,0,0,0
"SWARM_1499",0,0,0,0
"SWARM_1498",0,0,0,0
"SWARM_1494",99.25,0,0,0
"SWARM_1491",58.46,0,0,0
"SWARM_1490",59.27,0,0,0
"SWARM_1492",91.39,0,0,0
"SWARM_6089",0,0,0,0
"SWARM_6987",0,0,0,0
"SWARM_6984",0,0,0,0
"SWARM_6985",0,0,0,0
"SWARM_6980",0,0,0,0
"SWARM_8820",0,0,0,0
"SWARM_5199",0,0,0,0
"SWARM_24999",0,0,0,0
"SWARM_24996",0,0,0,0
"SWARM_4747",0,0,0,0
"SWARM_5191",0,0,0,0
"SWARM_5193",0,0,0,0
"SWARM_5195",0,0,0,0
"SWARM_5197",0,0,0,0
"SWARM_17976",0,0,0,0
"SWARM_13439",0,0,0,0
"SWARM_22661",0,0,0,0
"SWARM_4741",0,0,0,0
"SWARM_7903",0,0,0,0
"SWARM_9563",0,0,0,0
"SWARM_4525",0,0,0,0
"SWARM_11512",0,0,0,0
"SWARM_4481",0,0,0,0
"SWARM_4483",0,0,0,0
"SWARM_4482",0,0,0,0
"SWARM_4484",0,0,0,0
"SWARM_4487",0,0,0,0
"SWARM_4486",0,0,0,0
"SWARM_10392",0,0,0,0
"SWARM_4731",0,0,0,0
"SWARM_4730",0,0,0,0
"SWARM_4735",0,0,0,0
"SWARM_10399",0,0,0,0
"SWARM_5285",0,0,0,0
"SWARM_5286",0,0,0,0
"SWARM_5287",0,0,0,0
"SWARM_5282",0,0,0,0
"SWARM_5283",0,0,0,0
"SWARM_6392",0,0,0,0
"SWARM_6395",0,0,0,0
"SWARM_6398",0,0,0,0
"SWARM_2883",0,0,0,0
"SWARM_2882",0,0,0,0
"SWARM_2881",0,0,0,0
"SWARM_2880",0,0,0,0
"SWARM_2887",0,0,0,0
"SWARM_2886",0,0,0,0
"SWARM_2885",0,0,0,0
"SWARM_6644",0,0,0,0
"SWARM_6647",0,0,0,0
"SWARM_6641",0,0,0,0
"SWARM_6643",0,0,0,0
"SWARM_6649",0,0,0,0
"SWARM_2775",0,0,0,0
"SWARM_2774",0,0,0,0
"SWARM_2776",0,0,0,0
"SWARM_2771",0,0,0,0
"SWARM_2770",0,0,0,0
"SWARM_2779",0,0,0,0
"SWARM_2778",0,0,0,0
"SWARM_7112",0,0,0,0
"SWARM_7110",0,0,0,0
"SWARM_7116",0,0,0,0
"SWARM_8599",0,0,0,0
"SWARM_9648",0,0,0,0
"SWARM_9649",0,0,0,0
"SWARM_9641",0,0,0,0
"SWARM_9645",0,0,0,0
"SWARM_3914",0,0,0,0
"SWARM_3913",0,0,0,0
