"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Chytridiales",27.845,24.945,100,1,71.18,0.01,6.33,22.511,23.46,24.7275,25,25,0.94,1,5.97907997603634,0
"Lobulomycetales",27.35,27.35,77,1,85.56,0.01,5.91,22.16,23.7985,27.3,27.444,27.8355,0.74,1,5.86456679698533,0
"Rhizophlyctidales",27.35,27.35,71,1,78.89,0.01,4.83,23.1475,23.2615,27.05,27.391,27.44,0.63,1,5.78471807112401,0
"Monoblepharidales",27.35,27.44,21,1,23.08,0.14,0.87,18.45,19.995,23.3625,24.9505,25.05,0.35,0.46,0.0986392262136685,0
"Zoopagales",28.92,28.92,14,2,93.99,0.01,14.38,26.37,26.5135,27.25,27.763,27.97475,1,1,15.6902906434255,2
"Basidiobolaceae order incertae sedis",22.955,22.955,27,2,32.14,0.02,2.38,22.04625,22.575,22.955,26.068,28.9685,0.92,0.72,2.87090728333983,0
"Salpingoecidae order incertae sedis",22.525,22.955,13,1,30.85,0.01,5.25,8.74,19.95,22.905,24.6065,24.945,1,1,6.67775183916272,1
"Stephanoecidae order incertae sedis",22.525,23.1,48,1,56.84,0.01,6.7,21.4405,22.15,23.0925,25.7365,26.36025,1,1,6.15781182426735,1
"Acanthoecidae order incertae sedis",28.92,26.645,27,2,72.79,0.01,9.92,26,26.397,26.825,27.755,27.94325,1,1,10.0435545595775,2
"Marine Group",9.135,26.22,44,1,37.36,0.07,1.72,6.853,9.0125,23.8,26.22,26.5,0.59,0.84,3.4585600634559,0
"Oxymonadida",9.135,9.135,12,1,85.79,0.01,18.16,7.144,9.0125,17,20.6695,22.0825,0.99,1,15.9235044082745,1
"Eugregarinorida",19.95,22.905,70,2,64.61,0.01,3.76,19.096,21.0305,23.435,27.26,27.35,0.98,0.93,3.99331216592023,0
"Dinophyceae incertae sedis",27.35,26.645,46,1,47.25,0.02,2.68,22.525,22.53,26.545,27.35,27.402,0.81,0.89,3.10546470272038,0
"Dinophysiales",26.645,26.5,69,1,72.57,0.01,5.22,26.06175,26.25,26.5725,26.85,27.11,0.96,1,5.32996123823327,1
"D244",27.44,26.37,85,1,74.77,0.02,3.37,24.05675,25.05,26.435,27.44,27.442,0.95,0.99,3.83327684514321,1
